3151394
/m/08vrgq
/m/08vrgq
E. Nesbit
1907
a 6
actually 1
admits 1
adults 1
almost 1
amulet 1
and 8
as 1
believe 1
both 1
but 1
castle 4
children 4
combines 1
country 2
descriptions 1
discover 2
distance 1
during 1
enchanted 2
estate 1
exploring 1
eyes 1
fairytale 2
fantasies 1
find 1
for 1
full 1
garden 1
gerald 1
groves 1
has 1
her 3
holidays 1
housekeeper 1
imaginative 1
in 5
including 1
invisibility 1
invisible 1
is 4
it 3
james 1
just 1
kathleen 1
lake 1
mabel 1
magic 2
magical 1
major 1
make 1
marble 1
maze 1
middle 1
more 1
muted 1
niece 1
of 11
other 1
panics 1
play 1
playacting 1
powers 1
princess 2
reminiscent 1
ring 3
rose 1
says 1
school 1
seekers 1
seen 1
setting 1
she 4
shows 1
sleeping 1
soon 1
statues 1
story 2
such 1
tells 1
than 1
that 3
the 23
them 2
then 1
they 2
three 1
through 1
title 1
towers 1
treasure 1
treasures 1
turns 1
turrets 1
was 2
west 1
when 1
while 1
white 1
who 1
with 2
written 1
