4244711
/m/0bs20r
/m/0bs20r
Enid Blyton
1943
a 12
about 1
accident 1
activities 1
actually 1
afraid 1
after 2
alerted 1
alison 3
all 3
allowed 1
already 1
also 4
although 1
always 1
america 1
american 2
an 2
and 20
another 1
anyone 1
anything 1
are 3
around 1
arrive 1
as 2
at 3
away 1
back 6
badly 1
be 3
because 1
becomes 1
becoming 1
beginning 1
being 1
belonged 1
blindfolded 1
bobby 3
bouncing 1
busy 1
but 6
by 3
called 3
car 1
care 1
caring 1
carlotta 10
cheating 1
circus 2
clare 1
could 1
cousin 1
danger 1
day 1
despise 1
determined 1
died 1
discover 2
discovers 1
disguise 1
dishonest 1
dislike 1
disliked 1
dismay 1
do 1
does 1
doesnt 1
during 2
elegant 1
encouraged 1
ends 2
enjoying 1
enjoys 1
entrance 1
even 1
eventually 1
everyone 1
except 2
fact 1
fake 1
false 1
father 1
find 1
finds 1
first 2
five 1
following 1
for 3
forced 1
form 3
forward 3
friend 1
friends 5
friendship 2
from 1
gagged 1
get 2
girl 7
girls 9
giving 1
go 3
goes 1
going 1
good 1
half 1
happily 1
happy 1
hard 2
has 3
hates 2
have 2
head 1
heartily 1
heiress 1
help 1
her 15
herself 1
his 2
hoping 1
however 1
humour 1
ignored 1
in 5
initially 2
instead 1
into 2
is 22
isabel 2
it 3
janet 1
joined 1
kidnap 1
kidnapped 1
kidnapping 1
know 1
last 1
laughs 1
lawsuits 1
learning 1
leaving 2
left 1
like 1
likeable 1
looking 3
looks 1
lurking 1
made 1
make 2
man 2
manages 1
manipulates 1
meet 1
met 1
miss 3
money 1
more 1
most 1
mother 2
motor 1
mumps 1
nasty 1
naughty 1
new 3
next 1
no 1
not 2
obviously 1
occasionally 1
of 6
older 1
on 4
once 1
one 1
only 1
or 1
ordeal 1
other 2
oullivan 1
out 2
outdoor 1
own 1
pam 6
parents 1
part 1
pat 1
path 1
pity 1
play 1
plays 1
popular 1
preparing 1
pretty 1
promoted 1
prudence 8
put 1
quarantine 1
quickly 1
quite 2
realise 2
report 1
rescue 1
result 1
reveals 1
rich 1
road 1
roberta 1
roberts 1
sadie 9
school 3
seat 1
second 1
secret 1
see 1
seem 1
sense 1
serves 1
she 14
should 1
shy 2
sisters 1
soon 2
spanish 1
spiteful 1
sports 1
spying 1
st 1
stages 1
stands 1
starts 2
story 1
strange 1
strong 1
strongly 1
summer 1
swimming 1
tackle 1
take 1
takes 1
teased 1
tells 1
tempered 1
tennis 1
term 4
that 8
the 28
their 7
them 2
theobald 2
there 4
they 4
this 2
though 1
through 1
tied 1
to 27
too 2
tricks 1
trouble 1
trying 1
turns 1
twins 4
two 1
under 1
unlike 1
until 1
up 2
very 3
want 1
war 1
warning 1
was 2
week 1
welcomed 1
well 1
when 3
which 1
while 1
who 9
wildlooking 1
will 2
with 7
won 1
working 2
year 1
