2150820
/m/06qjd_
/m/06qjd_
Tim Dorsey
2005-01-18
{"/m/0lsxr": "Crime Fiction"}
a 19
about 1
abusive 1
accidentally 1
actually 1
after 2
agrees 1
all 5
ally 1
along 1
an 4
anchor 1
and 15
anna 2
announcing 1
apparent 1
are 3
arguments 1
around 1
as 3
at 4
attempts 1
attention 1
baffled 1
barely 1
bartender 1
be 3
beat 1
beautiful 1
becoming 1
been 1
before 1
begging 1
best 1
bizarre 1
boat 1
book 1
both 1
bride 1
briefly 1
brother 1
brown 1
brutal 1
buffett 1
bulletins 1
but 3
buying 1
by 3
can 1
cant 1
cars 1
challenge 1
cold 1
coleman 1
come 1
concert 1
condominiums 1
continually 1
course 1
courting 1
crashing 1
dangerous 1
dealings 1
death 1
decide 1
decides 2
deputy 1
deranged 1
desperatetobeliked 1
destroys 1
devoted 1
dimbulb 1
discovers 1
do 1
down 1
downtrodden 1
drifts 1
drug 1
during 1
duster 1
end 1
enron 1
equally 1
escape 1
even 1
every 1
exceo 1
exwife 1
falls 1
fax 1
fed 1
few 2
finally 1
find 2
finds 2
first 1
flees 1
flies 1
flirting 1
florida 2
follow 1
followers 1
following 2
for 7
formidable 1
free 1
from 1
frustration 1
funds 1
fussels 3
gaskin 1
given 1
gold 1
good 1
goodwill 1
gus 3
halfjoking 1
happy 1
has 2
hastilyscheduled 1
have 1
he 9
headed 1
heads 1
heaped 1
held 1
her 4
herself 2
him 4
himself 1
hire 1
his 13
honesty 1
how 1
however 1
humiliations 1
husband 1
identities 1
ignore 1
improprieties 1
in 8
inadvertently 1
initially 1
insulting 1
intricacies 1
investigating 1
is 10
it 1
jerry 2
jimmy 1
keys 3
killer 1
killers 1
lack 1
later 1
lawyers 1
legally 1
legion 1
libido 1
library 1
life 3
little 1
living 1
local 2
lookout 1
lord 1
lost 1
loudmouth 1
love 1
lover 1
mainly 1
man 1
marry 1
match 1
meanwhile 1
meek 1
mention 1
millions 1
mixture 1
mocking 1
molly 2
money 1
more 2
most 1
movie 1
murdered 1
musical 1
name 2
nearly 1
new 1
next 1
nickname 1
no 2
normal 1
notices 1
obliviously 1
obnoxious 1
obscure 1
obsessed 1
obviously 1
of 15
on 3
or 2
other 1
out 1
over 1
pal 1
partner 1
pearls 1
penchant 1
people 4
personality 1
picked 1
place 1
plans 1
plot 1
police 1
possession 2
possible 1
prim 1
prized 1
prospects 1
proves 2
psychotic 1
pub 2
quasilegal 1
quickly 2
quite 1
recently 1
reference 1
regulars 1
reinvent 1
relationship 1
repeated 1
resents 1
retirement 1
rich 1
right 1
robbed 1
scandal 1
scarface 2
seem 1
seems 1
serge 6
serial 2
serpico 1
she 6
shoreline 1
should 1
sight 1
silences 1
simultaneously 1
slimy 2
small 1
solid 1
some 1
somehow 1
spending 1
spends 1
spitting 1
spread 1
starts 1
station 1
steals 1
stereotypically 1
still 1
suddenly 2
suggestion 1
support 1
takes 1
talent 1
than 2
thanks 1
that 2
the 26
their 2
themselves 1
they 3
this 2
thousands 1
threads 1
time 1
to 18
together 1
topichopping 1
total 1
tried 1
trouble 1
trust 1
trying 1
undaunted 1
underwater 1
unmasked 1
until 1
unwilling 1
up 2
very 1
vexed 1
viciously 1
waitress 1
walter 1
watches 1
way 1
wealth 1
wedding 1
weekend 1
when 1
where 1
which 2
who 4
whoop 1
wife 1
wisdom 1
with 7
woman 1
won 1
worth 1
