19797571
/m/04q84br
/m/04q84br
David Liss
2008
172 3
174 1
1781 1
1788 1
a 3
aaron 1
about 1
action 1
addition 1
after 1
against 1
age 1
albany 1
alexander 1
along 1
alternating 1
america 1
american 1
an 1
and 12
anne 1
as 2
at 2
attempt 1
audacious 1
autobiography 1
backdrop 1
bank 2
begin 1
begins 1
bingham 1
birth 1
blackmailer 1
both 1
brackenridge 1
burr 1
but 1
by 1
capital 1
champion 1
chapters 1
characters 2
cities 1
city 2
climactic 2
come 1
corrupting 1
creator 1
currency 1
despite 1
disgraced 1
does 1
drunkard 1
duer 3
duplicity 1
during 1
ethan 3
events 1
eventually 1
fictional 2
financiers 1
first 1
firstperson 1
for 2
form 1
formed 1
former 1
founders 1
free 1
freneau 1
from 2
frontier 3
general 1
gives 1
gradually 1
hamilton 3
hardships 1
hated 1
hatred 1
henry 1
her 2
his 1
historical 2
hugh 1
in 7
include 1
including 1
influence 1
intended 1
is 2
it 2
james 1
jeffersonian 1
joan 4
journalist 1
learn 2
led 1
life 2
like 1
main 1
mainly 1
many 2
maria 1
maycott 2
meet 1
meets 2
narratives 1
nation 1
national 1
near 1
new 4
newly 1
not 1
novel 1
now 1
of 15
offer 1
on 1
out 1
over 1
panic 1
pennsylvania 1
philadelphia 2
philip 1
pioneers 1
pittsburgh 1
place 1
plan 1
preceding 1
purity 1
reader 1
rebellion 1
redemption 1
republican 1
return 1
returns 1
revolution 1
reynolds 1
saunders 4
scenes 1
scoundrel 1
secret 1
secretary 1
seductive 1
seeking 1
sees 1
senator 1
separately 1
set 1
seventeen 1
she 2
socialite 1
speculators 2
spy 1
states 2
still 1
take 2
takes 1
tax 1
temporary 1
that 2
the 31
this 1
time 1
title 1
to 11
together 1
town 1
travails 1
treasury 1
two 1
united 2
use 1
washington 1
way 1
we 2
wealthy 1
western 3
where 1
which 1
whiskey 3
why 1
wife 1
wilderness 1
william 1
years 1
york 3
