3867060
/m/0b428j
/m/0b428j
Xinran Xue
2004-07-01
{"/m/05hgj": "Novel"}
150s 1
30 1
a 14
about 1
after 3
against 1
an 1
and 13
army 1
as 4
away 1
bring 1
burial 1
but 1
china 1
chinese 5
comfortable 1
communism 1
continue 1
death 1
decides 1
disposed 1
doctor 4
eking 1
encounters 3
end 1
family 2
fate 1
fighter 1
finds 1
for 3
friends 1
from 3
gathering 1
gets 1
go 1
goes 1
going 1
gone 1
government 1
gradually 2
had 1
has 1
he 4
her 14
highlands 1
him 1
himself 1
his 1
hoping 1
husband 3
identity 1
in 12
informed 1
into 1
involves 1
is 2
its 1
join 1
joining 1
killed 1
learns 2
leaves 1
life 3
live 1
lived 1
living 1
long 1
loses 1
man 1
marries 1
meets 1
military 1
missing 1
modest 1
near 1
news 1
nomad 1
nomadic 1
nomads 1
novel 1
of 9
old 1
or 1
order 1
orders 1
out 1
over 1
pacify 1
paints 1
peace 1
people 1
praises 1
prevent 1
quietly 1
relatives 1
reputation 1
resistance 2
retaliating 1
retelling 1
returns 1
revels 1
rule 1
sacrificed 1
sage 2
said 1
scout 1
search 1
searching 1
sense 1
she 7
shop 1
shu 5
sing 1
skirmish 1
sky 1
soldiers 2
still 1
subjugation 1
suspect 1
suzhou 3
sympathetic 1
take 1
tea 1
tell 1
tells 1
that 2
the 21
their 1
them 2
tibet 3
tibetan 4
tibetans 3
to 12
tradition 1
treat 1
treated 1
under 2
unification 1
unit 2
was 2
way 1
welcoming 1
wen 5
where 1
while 1
who 5
wishes 1
with 1
woman 3
would 1
wounded 1
xinran 2
years 2
