13757070
/m/03chb0l
/m/03chb0l
Alan Gibbons
2002-07-01
a 9
able 1
accept 1
accepts 1
also 1
an 3
and 15
are 1
area 1
arson 1
article 1
as 3
at 5
attack 1
attempting 2
back 2
because 1
before 1
befriends 1
being 1
believes 1
blackowned 1
book 2
both 1
bully 1
by 2
called 1
catch 1
cathy 5
chases 2
chris 6
clues 1
country 1
covered 1
danny 9
dates 1
deduce 1
des 1
during 1
edge 1
efforts 1
encounters 1
end 1
escape 1
eventually 1
evil 1
family 1
fancies 1
father 2
find 1
finds 1
first 1
fled 1
for 1
force 1
friends 1
from 2
gang 2
get 2
girl 1
going 1
gone 1
good 1
grandson 1
happy 1
harry 4
has 2
have 1
he 5
hears 1
her 3
him 3
his 5
house 1
implied 1
in 5
is 6
it 1
joan 1
known 1
later 1
leaving 1
life 1
live 1
local 1
lot 1
man 1
meanwhile 1
mixed 1
mother 3
named 3
new 1
newspaper 1
nikki 2
no 1
not 1
novel 2
now 1
of 6
officers 1
on 2
out 1
overpowers 1
owns 1
parker 1
police 1
pregnancy 1
prison 1
progresses 1
race 1
racist 1
real 1
refuses 1
responsible 1
restrained 1
result 1
retake 1
saves 1
school 2
she 2
shows 1
side 1
son 2
start 1
station 1
stepfather 2
steve 5
store 1
teenage 1
that 2
the 15
their 1
them 3
this 1
though 1
time 1
to 12
tracks 1
tries 1
trouble 1
tube 1
unknown 1
unplanned 1
unsuccessful 1
up 1
vain 1
virtually 1
warns 1
well 1
were 1
where 2
who 2
with 2
wrong 1
