17584330
/m/0465hvl
/m/0465hvl
Chuck Palahniuk
2009-05-05
13yearold 1
67 1
a 6
acts 1
adjust 1
agent 2
also 1
american 4
an 4
and 2
around 1
as 5
attack 1
bathroom 1
been 1
boy 1
brother 2
bully 1
by 2
china 1
church 1
codenamed 1
committed 1
communistera 1
cuba 1
described 2
detail 1
diminutive 1
enrolling 1
exchange 2
execute 2
family 2
fellow 1
first 1
for 1
from 2
germany 1
going 1
graphic 1
had 1
havoc 2
he 2
his 5
host 2
in 4
into 1
introduced 1
is 3
korea 1
life 2
live 1
location 1
many 1
mashup 1
masquerading 1
midwestern 1
modern 1
named 1
naziera 1
nicknamed 1
north 1
number 1
of 3
on 2
only 1
operation 2
operative 1
operatives 1
order 1
plot 1
preparing 1
public 1
pygmy 1
revolves 1
rituals 1
scene 1
school 1
size 1
sleeper 1
sodomises 1
state 1
states 1
student 1
students 1
such 1
terrorist 1
the 7
this 1
to 7
totalitarian 1
trip 1
united 1
unnamed 2
victimising 1
walmart 1
while 1
who 1
with 3
