10583798
/m/02qjg_7
/m/02qjg_7
Daren King
1999
a 5
after 1
afternoon 1
an 1
and 8
are 1
at 2
awake 1
bag 1
become 1
being 1
between 1
bole 3
boler 1
boxy 4
boyfriend 1
brain 1
confuse 1
conjurer 1
consume 1
couple 1
dealer 1
decide 1
drug 1
drugs 1
due 1
duvet 1
encountering 1
es 1
escape 1
flat 1
forgetting 1
friend 2
frightened 1
gary 1
go 1
have 1
his 1
in 1
invited 1
is 2
large 1
later 1
lovers 1
mephisto 1
moking 1
narrator 1
night 1
number 1
of 4
on 1
pair 1
party 1
prim 2
relationship 1
spangles 1
stacey 1
star 3
stay 1
stick 1
story 2
tar 1
tea 1
tells 1
the 10
they 3
think 1
thomas 1
title 1
to 4
two 1
visit 1
way 1
where 1
which 1
who 1
with 1
young 1
