8708030
/m/027fr7s
/m/027fr7s
Steve Barlow
2001
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 10
access 1
after 2
an 1
and 4
as 1
be 1
become 1
boggart 1
boy 1
can 1
carries 1
city 1
dragon 1
dragonsbane 2
dwelling 1
fighting 1
for 3
forest 1
girl 1
go 1
harp 2
high 1
humfrey 1
impediment 1
in 1
inquestigator 1
is 2
it 1
italian 1
known 1
knyght 3
longs 1
lord 1
luigi 1
meeting 1
mind 1
mountain 1
named 2
of 2
pryvate 1
ragged 1
restaurateur 1
retrieve 1
rose 2
runemaster 1
sarcastic 1
school 2
sent 1
son 1
speech 1
stolen 1
stone 1
swineherd 1
symon 3
the 8
to 7
tournament 1
travel 1
up 1
used 1
when 1
which 1
whipping 1
who 1
willum 3
with 2
wizard 1
