5990366
/m/0fjgch
/m/0fjgch
John Updike
1996

10 1
110 1
16 1
20th 1
80 1
a 1
america 1
american 1
an 2
and 4
apprasial 1
approach 1
are 1
as 1
author 1
beauty 1
beginning 1
both 1
century 2
charting 1
child 1
christian 1
country 1
covers 1
created 1
critic 1
decline 1
down 1
dreams 1
ending 1
entry 1
epic 1
even 2
faith 1
family 2
fortunes 2
four 1
from 1
generation 2
generations 1
habits 1
handed 1
he 1
her 1
his 1
history 1
hollywood 1
how 1
in 6
into 1
it 1
its 3
kakutani 1
kaleidoscopic 1
lilies 1
michiko 1
millennium 1
mr 1
much 1
nervous 1
new 1
of 8
parent 1
portrait 1
predilections 1
rabbit 1
rise 1
showed 1
some 1
stumbling 1
stunning 1
swath 1
tackled 1
tetralogy 1
than 1
the 10
this 1
through 1
times 1
to 5
twentieth 1
tying 1
underestimated 1
updike 1
updikes 1
wider 1
wilmot 1
work 1
wrote 1
years 1
york 1
