1254019
/m/04mh9c
/m/04mh9c
Irwin Shaw

{"/m/05hgj": "Novel"}
a 14
abbott 1
about 1
accident 1
act 1
action 1
actions 1
actual 1
adult 1
affair 1
affairs 1
alcoholism 1
all 3
also 2
although 1
an 4
and 16
another 1
any 1
as 5
attorney 1
authorities 1
awakens 1
away 3
axel 5
bakery 1
balanced 1
bear 1
because 2
become 1
becomes 1
beginning 1
begins 1
behavior 1
being 1
beyond 2
bitter 1
black 1
bleak 1
blond 1
blood 1
both 2
boylan 9
brother 2
brothers 1
burke 2
business 1
but 3
by 4
calderwood 1
calls 1
can 1
cannot 2
car 1
caught 1
choice 1
claude 2
cling 1
colin 1
collapses 1
college 1
company 1
completely 1
complex 1
confronted 1
consciousness 1
consequences 1
consistently 1
constantly 1
constitutes 1
contrast 2
counterpoint 1
couple 1
cowering 1
defending 1
demonstrative 1
describing 1
despises 1
developing 1
dies 1
different 1
differentiate 1
does 3
drain 1
drives 1
each 1
early 1
either 2
embarks 1
emotional 1
encounters 1
ends 1
ensuing 1
entangle 1
even 1
eventually 2
example 1
examples 1
face 2
familiarity 1
family 5
father 1
finally 1
financially 1
first 2
five 1
flee 1
for 8
french 1
friend 4
fruit 1
fulfilling 1
genuine 1
get 1
gets 1
gives 1
go 1
goes 1
goody 1
great 1
gretchen 5
haired 1
has 1
hatefilled 1
he 6
heath 2
help 2
her 5
herself 1
him 10
his 8
humanity 1
imagine 1
immediately 1
impulse 1
in 17
independent 1
influence 1
into 2
introduction 1
involved 1
is 13
it 2
its 1
johnny 2
jordache 8
judgment 1
juxtaposition 1
kind 1
kinds 1
law 1
learns 1
lengths 1
lens 1
let 1
level 1
lifelong 1
literature 1
live 2
macguffin 1
mainly 1
make 1
man 3
manner 1
many 1
marriage 3
mary 2
material 1
means 1
member 1
members 1
men 3
meticulously 1
miniseries 1
miscue 1
modern 1
more 1
motion 1
mr 1
much 2
neerdowell 1
negative 1
never 1
new 1
none 1
nothing 1
novel 4
numerous 1
objectively 1
occurs 1
of 35
offers 1
often 1
ohio 2
ok 1
old 1
older 1
omniscient 1
on 2
one 4
only 4
opinion 1
or 4
over 4
own 2
paradoxically 1
parents 3
partner 1
parts 1
pattern 1
pay 1
people 5
perhaps 1
person 1
pervert 1
pessimistic 1
petty 1
physical 1
plot 2
point 2
positive 1
pov 1
present 1
president 1
psychologically 1
put 1
rather 1
realization 1
reduces 1
relationship 1
relationships 2
relentlessly 1
repeated 1
resentful 1
rich 1
rid 1
rudolph 8
savage 1
scrape 1
second 1
seeks 1
sees 1
self 1
send 2
sends 1
separate 1
serves 1
sets 1
settles 1
shaw 3
she 2
sheep 1
shoes 1
sibling 1
siblings 1
side 1
sided 1
similarly 1
simplistic 1
slaps 1
small 1
somewhat 1
somewhere 1
sound 1
source 1
springs 1
stark 1
story 1
symbol 1
teacher 2
teddy 1
than 3
that 7
the 50
their 6
them 1
themselves 1
then 1
third 1
this 5
thomas 9
thought 1
threatened 1
three 2
through 2
thus 1
time 1
to 19
together 1
told 2
tom 1
town 2
toxic 1
tragedy 1
tripwire 1
trouble 1
true 1
turns 1
two 1
under 1
understructure 1
up 1
upon 1
upstate 1
uses 1
vandalism 1
very 1
view 2
vindictive 1
violent 1
virtuous 1
wants 1
ways 3
we 1
weight 1
well 2
what 1
when 6
where 1
while 1
who 6
wholly 3
whom 1
willie 1
wimps 1
with 15
woman 1
works 1
world 4
york 1
younger 1
