12412992
/m/02w492m
/m/02w492m
Lisa Tuttle

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 42
academies 1
academy 3
accept 1
accidentally 1
across 1
act 1
acting 1
actually 1
additionally 1
adopted 1
adult 2
after 10
afterward 2
age 1
all 1
allowed 2
allowing 1
already 1
also 4
always 1
amberley 2
amberly 4
an 7
ancient 1
and 34
angrily 1
annual 1
another 3
any 2
approaches 1
archaic 1
ardent 1
are 3
argues 1
arrives 1
as 14
aspiring 1
at 7
attacks 1
attempts 2
away 1
back 3
be 7
beaches 2
beaten 1
because 6
become 5
becomes 1
bed 1
bedside 1
been 3
before 2
begin 1
being 3
belonging 1
best 1
between 1
biological 1
birth 1
born 1
botched 1
both 3
brother 2
brutal 1
built 1
burgeoning 1
but 3
by 9
call 1
called 1
case 1
catastrophic 1
center 1
ceremonial 1
challenge 1
challenged 1
chance 4
change 1
chapter 1
child 1
childbirth 1
children 1
choices 1
circle 1
citizens 2
claim 2
clamdiggers 1
closed 1
coastal 1
code 1
coll 13
collect 1
colloquially 1
colonies 2
come 2
coming 1
commits 1
community 1
compete 2
competence 1
competent 1
competition 4
competitions 1
complicated 1
concluded 1
confiscated 1
considered 1
contest 1
continue 1
continuous 1
controversial 1
convincing 1
corm 7
council 5
councila 1
creation 1
crime 1
culture 1
customarily 1
day 1
death 1
decides 2
declared 1
defeated 1
demonstration 1
deserves 1
desire 1
desires 1
despicable 1
determined 1
died 1
difficult 1
dishonorable 1
disowning 1
dispute 1
distance 1
documents 1
dorrel 3
dream 1
during 2
dying 1
early 2
effects 1
elderly 1
encounter 1
enthusiasm 1
entrusted 1
error 1
established 1
even 1
events 1
ever 1
execution 1
exile 1
failed 1
family 2
familybased 1
father 1
favor 1
female 2
ferrying 1
fierce 1
finds 1
first 3
fisherman 1
flies 1
flight 1
fly 4
flyer 24
flyerrelated 1
flyers 12
flyersin 1
flyerwings 1
flying 1
for 11
force 1
forced 2
formed 1
friends 3
from 10
front 1
fruitless 1
fully 1
functional 1
further 1
gave 2
get 1
girl 1
give 2
gradually 1
granted 1
grief 1
grievous 1
growing 1
had 2
hands 2
hanged 1
hardly 1
has 10
have 2
he 9
head 1
held 2
help 2
her 21
herself 2
him 2
his 6
historic 1
history 1
home 1
honors 1
hovel 1
however 8
hurt 1
if 1
important 2
imprisoned 1
in 20
inferior 1
injuries 1
injury 2
intends 2
interest 1
into 1
is 22
island 4
it 3
its 1
itself 1
jarring 1
journeying 1
just 1
keep 3
killed 2
kindness 1
knowing 1
known 2
lack 1
landing 1
landowner 1
lands 1
largely 1
last 1
later 1
latter 1
learn 1
learns 1
leniently 1
lesser 6
lets 1
life 2
lineage 1
little 1
lives 1
losing 1
loves 1
loyalties 1
maintains 1
make 2
male 1
man 1
many 2
maris 35
marisone 1
massive 1
matters 1
may 1
measures 1
meeting 2
meets 1
messages 1
middle 1
more 1
morning 1
most 4
mostly 1
mother 3
motherthe 1
mourning 1
musician 1
must 1
named 2
namely 1
near 2
nearby 1
nearly 2
neighboring 1
never 1
new 2
newest 1
night 1
no 1
notifies 1
now 1
nowinfamous 1
number 2
oceans 1
of 43
offered 1
officially 1
often 1
old 1
oldest 2
on 7
one 11
onewing 5
onewings 1
only 1
onto 1
or 3
order 2
original 1
other 4
outlaw 1
over 3
own 5
owners 1
parents 1
part 1
particularly 1
pass 1
peasant 2
persons 1
piloting 1
pivotal 1
place 1
plans 1
populace 1
position 1
potentially 1
powerful 1
promising 1
protest 1
prove 2
proves 1
pursue 1
put 1
quickly 2
rare 1
real 1
realizes 1
reasons 1
receives 1
recent 1
recites 1
recover 1
recovers 1
refuse 1
refuses 1
regarded 1
remains 1
remembers 1
remote 1
replace 1
request 1
resident 2
resolve 1
respect 1
responds 2
response 1
result 2
resumes 1
return 1
returns 1
reveals 2
right 2
rise 1
role 1
russ 14
scavenging 1
scour 1
search 2
serious 1
seriously 1
set 2
several 1
she 18
shore 1
shortly 2
should 1
showing 1
since 1
singer 4
sister 1
site 1
skillfully 1
sky 1
so 1
society 1
some 1
son 1
song 2
soon 2
southern 1
spare 1
spends 1
srella 3
steals 1
stewardship 1
still 1
storm 1
storms 1
strongly 1
students 2
subsequent 1
succeeds 1
suffers 1
survive 1
system 1
take 3
tempest 1
terrifying 1
testament 1
that 16
the 69
theft 1
their 4
then 4
there 1
thereby 1
therefore 1
they 1
theyve 1
things 1
thirteen 2
this 1
though 2
three 2
thus 1
time 5
timidly 1
to 56
together 1
told 1
took 1
traditional 1
tragically 1
train 1
trained 1
training 1
traveling 1
treats 1
turn 1
turned 1
ultimately 1
unable 1
unbeknownst 1
unfair 1
universally 1
unrecognized 1
unspecified 1
up 2
urged 1
val 8
valuables 1
venerated 1
village 1
violent 1
votes 1
wants 1
was 7
washes 1
wear 2
what 1
when 3
where 2
which 1
who 5
whom 1
wife 3
will 4
win 1
windhaven 8
winginheritance 1
wings 24
wins 2
wish 1
with 6
without 1
won 1
woodwings 2
words 1
written 1
yearly 2
years 2
young 3
