16622708
/m/04111fr
/m/04111fr
Ali Smith
2005
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
12 1
17 1
20th 1
a 10
adam 1
adopt 1
affairs 1
again 1
alhambra 5
all 1
also 1
altogether 1
amber 5
ambers 1
america 1
an 1
and 12
answering 1
are 1
arrived 1
arriving 1
as 6
assume 2
astrid 3
astrids 2
at 2
away 1
be 1
been 1
beginning 3
believed 1
berenski 1
between 1
block 1
book 1
bridge 1
broken 1
but 2
by 2
came 1
camera 1
can 1
car 1
century 1
character 1
characters 1
children 1
cinema 3
claiming 1
classmates 1
closing 1
come 1
conception 1
connection 1
consists 2
contains 2
deals 1
different 2
do 1
down 1
each 6
embarking 1
emptied 1
end 3
ending 1
ends 2
eve 7
eventually 1
eves 2
excited 1
existed 1
experience 1
experiences 1
face 1
family 5
films 1
finally 1
find 1
finishes 1
first 2
firstperson 3
flaws 1
focused 1
focusing 1
follows 1
forcing 1
four 2
freed 1
from 7
goes 1
guest 1
had 1
has 1
have 3
he 1
her 9
here 1
his 2
history 2
holiday 3
home 4
house 2
houseguest 1
how 1
however 1
husband 1
if 1
in 7
into 2
involvement 1
is 4
it 1
learn 1
leaving 1
lecturer 1
life 1
lives 1
losing 1
machine 1
magnus 6
mantle 1
marriage 1
member 1
members 1
messages 1
michael 4
michaels 2
middle 3
mother 1
much 1
must 1
narration 4
narrations 1
norfolk 1
not 1
nothing 1
novel 3
obsession 1
obtain 1
of 21
off 1
offered 1
old 1
ominously 1
on 3
once 1
one 2
only 1
opening 1
opens 1
out 1
own 1
part 2
parts 1
past 3
possessions 2
prank 1
previous 1
proof 1
rather 1
redemption 1
reinforcing 1
relationship 1
resulted 1
return 1
reveals 1
road 1
roundtheworld 1
runs 1
same 1
school 1
search 1
second 2
section 1
sections 1
seduces 1
seem 1
seeming 1
seemingly 1
seems 2
separate 1
she 6
short 1
smart 2
smarts 1
some 1
someones 1
students 1
suicide 1
take 1
takes 1
telling 1
the 32
their 6
then 6
they 2
third 1
thirdperson 1
those 1
three 1
through 2
throwing 1
throws 1
to 11
tour 1
towns 1
two 1
unannounced 1
uninvited 3
university 1
up 3
us 2
videotaping 1
view 1
we 9
were 1
when 1
where 1
which 6
who 2
with 7
writers 1
