3790344
/m/0b04qn
/m/0b04qn
Catherine Asaro
2000
a 11
about 1
act 1
aftermath 1
also 1
an 4
and 7
argali 1
arrangement 1
as 3
backward 1
balimul 2
balumil 1
beast 2
beauty 1
becomes 1
belle 1
betrothed 1
book 1
both 2
by 1
central 1
civil 1
clear 1
colony 1
comes 1
control 1
culture 1
deal 1
deals 1
death 1
designed 1
destabilizes 1
disobedience 1
dynasty 1
eject 1
emotional 1
enigmatic 1
exile 1
fairy 1
fall 1
father 1
fiction 2
figure 1
first 1
folktale 1
for 2
force 1
from 3
genre 1
government 1
governmental 1
governor 1
half 3
has 2
havyrl 1
he 2
healing 1
her 4
himself 1
his 2
home 1
impoverished 1
in 9
interferes 1
interstellar 1
into 3
involves 1
ironbridge 1
is 3
it 1
jax 1
kamoj 6
left 1
lionstar 4
literature 1
lost 1
lyshriol 1
made 1
marriage 1
masked 1
military 1
monster 1
must 2
neighboring 1
no 1
novel 2
occupying 1
of 13
on 2
part 1
people 1
physical 1
plan 1
planet 3
political 1
prince 3
province 4
purposes 1
pushing 1
quantum 3
reputation 1
retelling 1
return 1
rose 3
ruby 1
ruler 1
save 3
scars 1
science 2
second 2
setting 1
starvation 1
story 1
such 1
survivors 1
taken 1
tale 1
that 1
the 24
their 1
themes 1
titular 1
to 6
traditional 1
transformed 1
victor 1
vyrl 1
war 2
wealthy 1
where 1
wide 1
with 7
world 3
