8336658
/m/026_wwn
/m/026_wwn
Ian Rankin
1988
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
a 4
about 1
accompanying 1
actually 1
after 2
aid 1
along 1
and 4
are 2
army 1
arrest 1
as 1
assassination 1
at 1
be 2
been 1
begin 1
belfast 1
believes 1
book 1
british 1
carried 1
cat 1
collins 2
come 1
compromised 1
consequences 1
conspiracy 1
core 1
daring 1
deadly 2
discover 1
discovers 1
escape 1
flint 5
for 2
forces 1
game 1
goes 1
going 1
government 1
has 1
having 1
he 4
high 1
his 2
however 1
involving 1
irish 1
irishmen 2
is 4
killings 1
lethal 1
life 1
men 1
mi5 1
miles 1
mission 1
mouse 1
of 7
officer 1
on 2
one 1
operations 1
out 1
own 2
piece 1
planned 1
playing 1
profile 1
provisional 1
realises 1
republican 1
ride 1
right 1
risk 1
run 1
security 1
sent 1
side 1
some 1
stages 1
story 1
suddenly 1
surveillance 1
tells 1
that 2
the 13
their 1
then 1
they 1
to 6
together 1
two 1
ultimately 1
very 1
what 2
which 1
who 1
will 1
with 4
witness 1
works 1
