1595454
/m/05f8n_
/m/05f8n_
Eoin Colfer
2004
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia"}
a 35
about 1
accepted 1
accident 3
after 7
agree 1
albeit 1
all 1
allowing 1
almost 1
alone 1
also 3
although 2
an 9
and 34
another 1
antarctica 1
any 3
appear 1
are 7
around 1
as 8
at 4
attachments 1
attempting 1
attempts 1
away 1
baby 1
back 2
bands 1
bashkir 1
be 5
because 2
become 1
before 2
beginning 1
begins 3
begs 1
being 2
believe 1
beneath 1
blue 1
bomb 4
bones 1
bonn 1
book 2
boys 1
break 1
broken 1
buckle 1
bullet 1
but 5
by 11
called 2
calls 1
can 5
capture 1
captured 2
car 1
cars 1
cast 1
catastrophic 1
caused 1
causing 4
cell 1
challenged 1
chase 1
chest 1
city 5
claims 1
clarissa 3
clean 1
come 1
communicating 1
company 1
computergenerated 1
confront 1
contained 1
containment 1
contaminates 1
continue 1
controlled 1
cop 1
corporation 2
correct 1
cosmo 18
crash 1
crashes 2
create 1
creatures 4
critical 1
cure 1
dart 1
darts 1
day 1
dead 3
detonate 2
did 1
didnt 1
dies 1
directs 1
disasters 1
discharged 1
discovers 1
discussion 1
ditto 7
do 2
does 1
doesnt 1
dont 1
down 2
drag 1
due 2
each 1
electric 1
electrical 1
electrocuted 1
ellen 1
ends 4
energy 2
eponymous 1
escape 2
eventually 1
except 1
exmechanic 1
experiences 1
experiment 1
experiments 3
extremely 1
fall 2
falling 1
faster 1
fatal 1
faustino 6
feelings 1
fight 1
find 3
finds 1
firefight 1
first 1
floor 1
following 1
for 7
force 1
forcing 1
fractured 1
frayne 3
free 1
friend 2
from 8
gang 2
generator 1
genesplicing 2
get 1
gets 3
getting 2
girl 1
going 2
grip 1
group 5
growth 1
guinea 1
habit 1
had 3
has 2
having 2
he 5
head 2
headbutts 1
heal 1
heart 2
hemisphere 1
her 5
herself 2
hidden 1
hill 1
him 13
hinted 1
his 16
hit 2
hits 1
hive 5
home 1
however 6
human 1
humans 1
idea 1
illegal 1
imprisoned 1
in 16
including 2
incorrect 1
increasing 1
indeed 1
injuries 2
institute 3
into 3
introduces 1
introduction 1
is 14
it 10
its 1
keep 1
kill 6
killed 3
kills 1
knees 1
know 1
knowing 1
knows 1
lab 1
lands 1
large 2
latina 1
lawyers 1
leave 4
leaves 1
left 2
leg 1
lets 1
life 4
link 1
links 1
listened 1
location 1
long 1
loose 1
loses 1
losing 1
lucien 1
make 1
making 1
manage 1
mans 1
many 2
mayor 1
mended 1
method 1
mild 1
millennium 1
miss 1
mona 8
more 2
mother 2
much 1
multiple 1
murphy 1
myishi 5
named 2
neardeath 1
next 2
night 3
northern 1
nosponsors 1
not 5
nothing 1
novel 1
nuclear 2
of 17
on 7
one 5
only 3
open 1
opens 1
or 1
orbit 1
orders 1
orphan 1
orphanage 2
orphans 3
other 4
out 8
own 1
owned 1
pain 3
paralegals 2
parasite 3
parasiteblasting 1
parasites 14
parasitesthat 1
parentally 1
part 1
passes 1
people 3
performed 1
pigs 1
place 1
plan 1
plant 1
plate 2
poisoned 2
policeman 1
pop 1
possible 1
potential 1
president 1
problem 1
produce 1
products 1
prototype 1
pursued 1
race 1
rafters 1
range 1
reactor 1
ready 1
record 1
recuperate 1
repeating 1
reproduce 1
rest 1
result 1
reveals 5
right 1
rooftops 1
satellite 13
save 1
saved 1
saves 1
say 1
says 1
scan 2
scrub 1
see 3
seeing 1
seen 1
seizures 1
send 1
sends 1
sets 1
several 2
she 11
shoot 1
shorts 1
shot 2
shut 1
six 1
skull 1
sky 1
small 1
sniper 2
some 1
space 1
spaceship 1
spite 1
spotter 3
squad 1
stalk 1
starts 1
steel 2
stefan 13
stolen 1
stunt 1
sucked 1
sucking 1
superhuman 1
supernatural 1
supernaturalist 1
supernaturalists 8
surface 1
survives 1
take 7
taken 1
takes 2
teen 1
teenage 1
teenager 1
tells 3
tested 1
that 16
the 78
their 3
them 14
themselves 1
these 1
they 4
theyre 1
third 1
this 1
those 1
time 2
to 52
too 1
track 1
trip 1
truck 1
twentyeight 1
two 2
under 2
unspecified 2
up 3
upon 1
use 2
used 3
using 3
various 1
vasquez 1
wait 1
wakes 1
want 1
warden 1
warehouse 1
was 1
wasnt 1
what 2
when 3
where 3
which 2
while 2
who 3
with 11
working 1
wreckage 1
wrecked 1
ziplock 3
