27934619
/m/0ch40pl
/m/0ch40pl
Edith Pargeter
1988
{"/m/02n4kr": "Mystery"}
1142 1
18 1
40 1
a 44
abbey 2
abbeys 1
abbot 3
abingdon 1
about 4
absolution 2
absorb 1
accedes 1
accept 1
accompany 1
action 1
actions 2
acts 1
adding 1
adelais 17
admits 2
adult 1
advantage 1
after 3
afterward 1
again 1
against 1
age 1
ago 4
agree 1
agrees 3
ahead 1
aid 2
all 3
allies 1
allnight 1
allowed 2
along 1
alongside 1
already 2
among 2
an 2
and 59
anew 1
anger 1
angry 2
anjou 1
ankles 1
another 2
any 3
anyone 1
apace 1
approach 1
are 11
area 1
argue 1
army 1
arrival 1
arrive 2
arrives 3
as 23
ask 1
asking 1
asks 7
assist 1
assistance 1
assurance 1
assure 1
at 25
atop 1
attests 1
audemar 6
audemare 1
away 3
back 7
background 1
banishes 1
battle 1
be 9
because 2
been 2
before 5
begged 1
begin 1
begs 2
begun 1
behind 2
being 1
beneath 1
benedicta 3
benedictine 3
beringar 2
bertrade 13
besieged 1
betrade 1
better 1
between 4
bishop 2
blessings 1
blood 2
body 3
both 2
boy 1
brian 1
bride 1
bringing 2
broken 1
brother 9
brothers 1
brought 1
builder 1
building 1
buried 1
burns 1
but 9
by 14
bypasses 1
cadfael 34
calls 1
can 1
cannot 2
care 1
carried 1
castle 3
cat 2
caused 1
cenred 12
cenreds 1
chains 1
challenge 1
challenges 1
chance 1
change 2
changed 1
chapter 1
charming 1
chest 1
child 2
christmas 1
church 4
claim 2
claims 2
clary 7
clearly 1
clerk 1
clinton 1
cloister 1
cold 1
come 2
coming 1
complete 1
completed 1
completely 1
completion 1
comply 1
conceding 1
concern 1
confesses 1
confession 2
conjuring 1
conradin 1
contenders 1
continue 3
contrast 1
convent 2
could 2
couple 1
create 1
crown 1
crutches 2
curious 1
damage 1
daughter 8
daughters 1
dawn 1
day 3
days 2
de 14
death 2
deaths 1
deception 1
decision 3
deeds 1
defeat 1
depart 1
despite 2
did 7
died 3
difficult 1
disappointed 1
disappointing 1
disciplined 1
discover 1
do 1
doing 1
done 4
doors 1
dower 1
down 2
dressed 1
drove 1
drugs 1
each 3
early 2
earn 1
east 1
edgytha 9
edric 1
eight 1
eighteen 1
either 1
eldest 1
elford 11
emma 2
empress 4
end 2
ends 1
england 1
entered 1
entire 1
escape 1
even 1
evening 1
experience 1
explains 1
expresses 1
eyes 1
face 1
fall 2
fallen 3
falling 1
falsehood 1
familiar 2
family 4
far 2
farewell 7
father 8
feast 1
feelings 2
feet 3
fell 1
fever 1
few 3
find 1
finds 1
first 1
fitness 1
fitzcount 1
followed 2
food 1
foot 3
for 24
forbade 1
forced 1
forces 2
forgive 2
forgiveness 2
forward 1
fought 1
foul 1
found 2
founder 1
four 2
