603115
/m/02vk5v
/m/02vk5v
Elinor Glyn
1906
{"/m/05hgj": "Novel"}
a 12
about 1
after 3
again 3
agree 1
agrees 1
all 2
allow 1
american 1
amount 1
an 1
and 28
another 2
any 2
anyone 1
are 4
aristocratic 2
arranged 1
arranges 1
as 3
asking 1
at 5
attempt 1
attend 1
attends 3
australian 1
aware 1
back 2
be 4
beautiful 1
because 1
begin 2
begins 1
behave 1
being 1
believe 1
belongs 1
benefits 1
best 3
book 2
both 4
bracondale 1
bring 1
brown 2
but 1
by 1
candidate 1
cannot 1
capable 1
car 1
cause 1
causes 1
chauffeured 1
circles 1
conclude 1
concluded 1
contents 1
continue 1
contracted 1
convenience 1
could 1
couple 1
courting 1
day 2
delirious 1
desire 1
destroy 1
dies 1
dinner 1
directed 1
do 1
dominic 2
dutiful 1
duty 1
each 2
eighteen 1
eligible 1
else 1
encounter 1
ends 1
enough 1
even 2
every 1
fall 1
falls 1
family 2
fantasizes 1
father 3
favor 1
fifties 1
financial 1
first 2
fitzgerald 3
for 9
fortunes 1
forwards 1
friendly 1
friends 1
from 4
full 1
future 1
gatherings 1
goes 1
guilt 1
had 1
hand 2
happiness 3
happy 3
has 1
have 3
he 8
health 1
hector 14
her 18
his 9
hit 1
hoped 1
how 1
however 2
husband 2
ill 2
immediately 1
improve 1
in 11
indulge 1
instead 1
into 1
introduce 1
introduced 1
invitations 1
invited 1
ire 1
is 10
it 1
jealousy 1
josiah 10
knowledge 1
later 1
learn 1
least 1
letter 4
life 1
lineage 1
live 1
lived 1
longer 1
longertheir 1
lord 1
love 4
lovers 1
make 2
makes 1
maliciously 1
marriage 5
married 1
marrying 1
mcbride 3
meant 2
meanwhile 1
meet 1
might 1
miserable 1
mixup 1
months 2
morella 1
most 1
mother 1
mrs 3
must 3
near 1
need 2
never 3
newcomer 1
next 2
no 1
noble 1
nouveauriche 1
now 4
obligations 1
observe 1
obvious 1
of 14
off 1
often 1
on 2
one 3
only 1
other 4
out 2
outing 1
outings 1
over 1
paris 2
particularly 1
pass 1
passionate 1
pays 1
people 1
picnic 1
point 1
possible 1
poverty 1
pretty 1
promise 1
proves 1
pursue 1
realizes 1
receives 1
receiving 1
remain 1
requests 1
resolves 1
resources 1
reunited 1
romantic 1
romantically 1
rumors 1
runs 1
sacrifice 1
sake 1
same 1
secretly 2
secure 1
see 3
seeing 1
sees 1
sets 1
several 3
she 5
shed 1
simply 1
since 1
sister 1
sisters 1
situation 1
so 1
social 2
society 2
soon 1
spend 1
splendidly 1
spread 1
spurned 1
standing 1
state 1
status 1
still 1
stood 1
strongand 1
suffer 1
sure 1
switches 1
sympathetically 1
terribly 1
that 4
the 28
their 1
them 2
themselves 1
theodora 21
thereafter 1
they 4
things 1
this 1
though 3
thrilled 1
throws 1
time 4
to 40
together 2
too 1
tries 1
trying 1
two 3
ultimately 1
unhappy 2
versailles 2
very 2
visit 1
waned 1
wants 1
was 1
way 3
wealthy 1
wedding 2
well 1
where 1
which 1
while 2
who 2
whose 1
widow 1
wife 2
will 1
winmarleigh 1
with 6
without 1
women 1
written 1
year 1
young 1
