10966415
/m/02qwkm5
/m/02qwkm5
Deborah Ellis
2004
{"/m/05hgj": "Novel"}
13 1
6 1
a 6
about 1
aboveaverage 1
after 1
ago 1
aids 2
aidsrelated 1
all 2
and 5
are 1
around 1
autoimmune 1
bambo 2
belongings 1
binti 5
book 1
but 1
called 2
can 1
care 1
centers 1
children 1
coffin 1
contracts 1
countrybinti 1
death 1
died 2
dies 1
due 1
earns 1
effect 1
end 1
family 4
father 2
focuses 1
for 2
force 1
from 2
girl 1
go 1
gogo 2
had 1
hardships 1
have 3
heaven 2
helps 1
hence 1
her 3
his 1
homes 1
in 2
infected 1
is 2
it 1
less 1
malawi 1
money 1
mother 1
move 1
new 1
novel 1
of 7
old 1
on 4
one 1
owns 1
placed 1
plot 1
pneumonia 1
radio 1
relatives 1
rest 1
she 1
shop 3
show 2
siblings 2
socioeconomic 1
star 1
start 1
status 1
support 1
suppressed 1
survive 1
system 1
take 1
the 17
their 3
them 2
through 2
title 1
to 5
together 1
wealthy 1
who 1
will 1
with 3
work 1
year 1
years 1
