2321972
/m/073pkv
/m/073pkv
Kobo Abe

4 1
a 6
advising 1
age 2
an 2
and 3
apparently 1
are 1
at 1
avoid 1
be 2
because 1
before 1
being 1
but 1
by 2
can 2
caused 1
children 1
climactic 1
coming 1
complicated 1
computer 3
creation 1
deal 1
decides 1
earth 1
elements 1
for 1
forecasts 1
forsee 1
fortunetelling 1
future 2
genetic 1
gilled 1
he 1
his 1
how 1
humans 1
ice 2
in 1
include 1
individual 1
institute 1
inter 1
involvements 1
is 2
it 1
make 1
man 1
melting 1
mind 1
moscow 1
murdered 1
nature 1
of 5
only 1
picked 1
plot 1
polar 1
political 1
politics 1
predicting 1
professor 1
programmed 1
puts 1
random 1
read 1
resulting 1
shift 1
similar 1
still 1
submersion 1
the 6
to 5
tokyo 1
try 1
under 1
underwater 1
use 1
water 1
which 1
with 1
world 1
