3594781
/m/09nqcc
/m/09nqcc
Graham Edwards
1996-09
a 7
about 2
accompany 1
achieve 1
adulthood 1
aether 4
after 1
all 2
allies 1
an 5
ancient 1
and 16
apart 2
archan 9
are 4
aria 8
arrives 2
as 3
at 2
back 1
basilisk 1
basilisks 7
battle 1
bear 1
becomes 1
being 1
blind 1
blink 1
body 1
brace 4
bring 1
brings 1
brink 1
built 1
but 2
by 4
call 1
called 2
canyon 2
cause 1
causes 1
ceremony 1
chain 1
changing 1
charm 4
citadel 3
community 3
companions 1
constantly 1
continents 1
convinces 1
crest 1
cross 3
cumber 4
daughter 2
dead 1
deathless 2
decides 1
destroyed 1
destruction 1
die 1
disappears 1
dragon 4
dragoncharm 1
dragons 5
dragonstorm 1
effects 1
egg 1
established 1
except 1
excharmed 2
expedition 1
extinction 1
eye 1
fading 1
find 1
flowing 1
for 2
forms 1
fortune 4
freed 1
from 3
future 2
gathered 1
gathering 2
giant 1
glaciers 1
goal 1
gossamer 1
great 1
grow 1
has 1
have 1
haven 4
he 2
helpless 1
her 2
hesper 2
him 1
his 2
holds 1
hovering 1
iceberg 1
if 1
immortal 2
immortality 2
imprisons 1
in 6
infant 2
inhabited 1
into 5
is 9
island 2
journey 1
just 2
kills 1
known 1
land 1
last 1
lead 1
learned 1
left 1
life 1
little 1
live 1
longer 1
lost 1
magic 2
make 1
many 1
meanwhile 1
meet 1
mobile 1
mortal 1
named 1
new 2
north 3
now 2
ocher 3
of 17
on 3
once 1
one 1
opens 1
others 2
out 2
own 1
party 1
past 1
perfect 1
perform 1
plan 1
plans 1
pole 3
precious 1
present 1
prevent 1
raping 1
reach 1
ready 1
remain 1
remains 1
renegade 1
represents 1
rescue 1
rescued 1
ritual 1
river 2
save 1
scheming 1
seduces 1
seeking 1
shape 1
she 4
shifting 1
six 1
skeleton 1
sky 1
snatched 1
species 1
split 1
splits 1
starts 1
steal 1
still 1
storm 1
surviving 1
survivors 1
taken 1
takes 1
taps 1
temporal 1
that 2
thaw 3
the 49
their 5
then 1
they 1
this 1
time 2
timetowers 1
to 16
towers 1
transports 1
trapped 2
tricks 1
troll 1
unable 1
wants 2
was 1
what 2
where 2
which 2
who 1
whole 2
whom 1
wielding 1
will 1
wingless 1
with 2
wonder 1
world 4
wyrm 2
yet 1
