7921816
/m/026k60s
/m/026k60s
Catherine Asaro
2006-11-28
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 9
addictive 1
after 2
against 1
also 1
althor 1
an 2
ancient 1
and 3
archers 1
aristo 1
as 1
assassinated 1
assigned 1
at 1
attack 1
battle 1
battlecruiser 1
be 1
become 1
billions 1
blue 1
book 1
brings 1
brother 1
but 1
by 2
called 1
cant 1
captured 1
chair 1
citizens 1
collapse 1
coma 1
could 1
dale 1
daughter 1
dealing 1
death 1
defence 1
device 1
disowned 1
do 1
during 1
dyad 2
dynasty 1
either 1
eldrin 1
eldrinson 2
eubian 2
expanding 1
falls 1
family 1
fates 1
father 1
for 1
from 3
government 1
halfbrother 1
happy 1
hard 1
has 1
he 3
heal 1
her 3
him 2
himself 1
his 2
home 1
honor 1
hospital 1
however 1
husband 1
imperator 1
important 1
in 2
inflicted 1
injuries 1
intact 1
into 1
invasion 1
is 4
it 1
jagernaut 1
join 1
keep 1
kill 1
kurj 1
launch 1
least 1
leaves 1
leaving 1
lying 1
making 1
medicament 1
members 2
military 2
most 1
mother 2
mystic 1
named 1
near 1
nearly 1
of 8
on 2
one 1
or 1
other 2
out 1
over 1
part 2
parthonia 2
parts 1
pharaoh 1
phorine 1
planet 1
pride 1
psiberweb 3
reality 1
reconcile 1
refugees 1
repair 1
risk 1
roca 3
ruby 2
sacrificing 1
same 1
sauscony 1
save 2
seat 1
serious 1
shannon 1
ship 1
shows 1
simultaneously 1
skolia 2
skolian 4
son 1
soz 4
sozs 1
struggles 1
that 1
the 17
their 1
this 2
to 11
took 1
traders 3
training 2
triad 2
turns 1
using 1
valdoria 1
vitarex 1
while 1
who 2
whom 1
with 6
withdrawal 1
year 1
