17328064
/m/043lf37
/m/043lf37
William P. Young
2007-05
{"/m/02xlf": "Fiction"}
13 1
a 11
abandoned 1
abducted 1
able 1
abusive 1
accident 2
across 1
african 1
after 3
age 1
almost 1
alone 2
also 2
american 2
an 5
and 18
are 3
arrested 1
arrived 1
arrives 1
as 5
asian 1
at 10
automobile 1
be 1
been 1
beginning 1
bloodied 1
body 3
book 2
bulk 1
but 4
by 4
called 2
calls 2
camping 1
campsite 1
canoe 2
carpenter 1
cave 2
character 1
children 2
christ 1
clothing 1
comes 1
coming 1
conversation 1
conversations 1
daughter 1
day 1
death 1
did 1
discovered 1
discovers 1
drowns 1
each 1
elousia 1
encounters 1
end 1
enters 1
events 1
evidence 1
experiences 1
fact 1
falls 1
family 3
father 4
find 2
finds 1
five 2
flips 1
forensic 1
form 1
found 1
four 1
freeing 1
friends 1
from 3
god 3
goes 2
great 1
had 1
has 4
he 17
heaven 1
help 1
her 2
herself 1
hike 1
him 2
himself 1
his 14
holy 1
home 1
image 1
in 8
into 2
inviting 1
is 12
it 1
its 1
jesus 3
joseph 1
killed 1
killer 1
known 1
ladykiller 2
lake 2
leads 1
leaves 3
leaving 1
left 2
life 1
like 1
little 2
located 1
lush 1
lying 1
mack 15
mackenzie 1
mailbox 1
main 2
manifestations 1
manifests 1
may 1
meet 1
middleeastern 1
missing 1
missy 7
multnomah 1
murdered 1
named 1
nan 1
narrates 1
near 1
nearly 1
never 1
no 1
northwest 1
not 1
note 3
nothing 1
novel 1
occurred 1
of 16
on 6
oregon 1
papa 6
personification 1
persons 1
philips 1
physically 1
playing 1
police 3
preoccupied 1
prior 1
put 1
puzzled 1
realizes 1
receives 1
recovery 1
refers 1
relationship 1
relationships 1
relatives 1
returns 1
revealed 1
rushing 1
sadness 1
same 1
sarayu 3
save 1
saying 1
scene 2
see 1
sees 2
serial 1
set 1
shack 8
shows 1
since 1
sinks 1
so 1
son 2
sophia 1
spend 1
spending 1
spirit 1
still 1
stopping 1
story 1
supernaturally 1
surroundings 1
suspects 1
taken 1
takes 2
terms 1
that 9
the 43
their 1
them 2
there 2
they 1
thoughts 1
three 3
to 10
transformed 1
trial 1
trinity 1
trip 1
two 1
unintentionally 1
unsure 1
various 1
visit 2
walks 1
wallowa 1
was 2
water 1
way 1
webbing 1
weekend 3
what 2
when 1
where 2
which 1
who 2
whom 1
wife 1
will 1
wisdom 1
with 12
woman 2
woods 1
would 1
years 1
youngest 1
