10862867
/m/02qsc2c
/m/02qsc2c
Meg Cabot
2006-04
{"/m/03mfnf": "Young adult literature"}
5000 1
a 10
about 3
absent 1
absolutely 1
achievements 1
act 1
after 1
again 1
aide 1
aka 1
all 3
also 2
an 2
ancestor 1
and 13
angry 1
another 1
anyone 1
appears 1
archenemy 1
are 2
as 4
asks 1
aspiring 1
at 1
attempts 1
attends 1
away 1
bankrupted 1
bankrupts 1
bans 1
be 5
before 2
being 1
benefit 1
between 1
bins 1
boyfriend 2
braid 1
but 4
butthole 1
buying 1
by 1
can 1
candles 1
cast 1
ceremony 2
chili 1
comes 1
commencement 2
confiscates 1
copies 1
corn 2
costume 1
course 1
dances 1
de 1
directed 1
does 1
drama 1
drinks 1
drop 1
ends 1
enough 2
enters 1
especially 1
even 1
everyone 1
explicit 1
exy 1
famous 1
farmers 2
fat 1
ferme 1
five 1
for 4
friends 2
friendship 2
genovian 3
girl 2
gives 1
going 2
government 2
grandmere 5
ground 1
gupta 1
guy 1
had 2
has 1
hates 1
having 1
he 2
help 1
her 11
hightech 1
him 1
himself 1
his 1
how 1
however 1
immediately 1
in 5
includes 1
including 1
interest 1
is 5
isnt 1
it 3
jp 7
killing 1
kiss 2
lana 2
last 2
lead 1
life 2
like 1
lilly 2
literary 1
longtime 1
louie 1
love 2
magazine 2
making 1
meaning 1
meeting 1
mention 1
mentions 1
mia 14
michael 5
money 2
more 1
musical 1
needs 1
never 1
new 1
newfound 1
no 1
not 1
of 4
oil 1
olive 1
on 3
once 1
onstage 2
out 2
parents 2
party 3
pay 1
perfect 1
performed 1
pink 1
plans 1
play 1
portraying 1
principal 1
problems 2
put 1
puts 1
quite 1
raise 1
raises 1
recycling 1
refuses 1
relationship 2
resort 1
results 1
rocky 1
rosagunde 1
same 1
saved 1
says 1
scene 1
screenwriter 1
seems 2
sees 1
selling 1
seniors 2
she 7
shows 1
so 2
socalled 1
solution 1
solving 1
soon 1
splitting 1
starring 1
starts 1
stories 1
story 3
strong 1
student 2
submitted 1
talk 1
tell 1
thanks 1
that 5
the 18
their 2
them 1
then 1
they 2
threatens 1
thrilled 1
to 13
tragedy 1
turns 1
up 3
way 1
weekend 1
weinberger 1
what 1
when 3
which 1
who 3
with 5
worried 2
worry 1
written 1
wrote 1
yet 1
