9273993
/m/0282mb3
/m/0282mb3
Beverly Cleary
1955
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 5
about 2
accepts 1
actions 1
after 2
along 1
also 1
always 1
an 3
and 7
animosity 1
anthropomorphic 1
antics 1
as 3
aunt 2
be 1
beatrice 4
beezus 4
behind 1
being 1
beloved 1
birthday 2
book 2
bunny 1
by 4
cakes 1
called 1
celebration 1
childhoods 1
children 1
class 1
classmates 1
close 1
commonly 1
consent 1
disgruntled 1
displayed 1
dragging 1
during 2
ears 1
easter 1
eccentricities 1
exasperated 1
exhibiting 1
finally 1
for 1
frequently 2
friend 1
from 1
guilt 1
habits 1
has 1
haunted 1
havoc 1
henry 1
her 10
homemade 1
house 1
however 2
huggins 1
imaginary 1
imaginative 2
infuriated 1
insists 1
intended 1
inviting 1
irritating 1
is 4
lead 1
learning 1
library 1
lizard 1
love 1
may 1
memories 1
mother 2
named 1
not 1
of 6
on 1
opposed 1
painting 1
pair 1
paper 1
parents 1
part 1
party 2
perpetually 1
pretending 2
prompted 1
quimby 1
rabbit 1
ralph 1
ramona 4
read 1
revealing 1
ruined 1
scoopy 1
share 1
she 1
shovel 1
sister 2
sisterhood 1
steam 1
string 1
such 2
that 3
the 7
they 1
this 1
to 5
towards 1
uneasy 1
upon 1
vandalizing 1
wearing 1
while 1
who 1
without 1
wreaking 1
younger 1
