31793876
/m/0gtxz2k
/m/0gtxz2k
Maarten Maartens
1892
a 5
accident 1
after 2
alers 1
although 1
always 1
an 2
and 6
around 1
as 2
at 2
becomes 2
behalf 1
between 1
blame 1
blind 1
boy 1
brother 1
brotherinlaw 1
buy 1
by 3
can 2
chapter 1
china 1
communicate 1
communication 1
cornelia 1
deaf 1
decides 1
disapproves 1
does 1
done 1
dutch 1
easy 1
elias 5
eliass 2
end 1
escalates 1
fictitious 1
finger 1
firm 3
firmly 1
firms 1
flowers 1
for 1
from 1
gradually 1
growing 1
halfbrothers 1
hand 1
happened 1
has 2
he 5
helping 1
hendrik 4
hero 1
him 3
himself 2
his 8
house 2
hubert 4
in 5
instigation 1
interests 1
into 1
is 3
it 1
johanna 1
kills 1
koopstad 3
last 1
leads 1
learns 1
letters 1
lives 1
look 1
looked 1
lossell 1
make 1
manage 1
mentally 1
money 2
much 1
murder 2
needy 1
nine 2
not 1
novel 2
novels 1
nurse 1
occupies 1
of 9
old 2
on 3
open 1
out 1
outskirts 1
over 1
own 1
owner 1
palm 1
people 1
possible 1
quarrel 1
remains 1
returns 1
rightful 1
save 1
set 1
so 1
somewhat 1
speculating 1
spendthrift 1
starts 1
stays 1
take 2
teamerchants 1
testament 1
thanks 1
that 1
the 19
there 1
this 1
thomas 1
thoughtless 1
to 7
town 1
tries 1
twins 2
understands 1
up 1
volderdoes 1
what 2
when 1
while 1
wife 1
with 3
writing 1
years 1
zonen 1
