2084907
/m/06l42h
/m/06l42h
Walter Scott
1818
{"/m/0hwxm": "Historical novel"}
114 1
166 1
1736 1
1801877 1
1868116 1
a 9
about 1
achieve 1
adapted 1
all 1
also 3
among 1
an 2
and 5
argyll 2
as 2
at 1
audience 1
backdrop 1
based 2
be 1
been 2
book 1
branch 1
broke 1
by 7
cameronians 1
can 1
captain 2
central 1
century 1
certain 1
certitude 1
character 1
charged 1
city 1
claimed 1
classes 1
classical 1
come 1
composer 2
county 1
crowd 1
david 1
deans 5
described 1
detail 1
devotion 1
devout 1
di 1
duke 2
early18th 1
edimburgo 1
edinburgh 3
element 1
event 1
execution 1
family 1
father 1
federico 1
fictional 1
figure 1
fire 1
first 2
foot 2
for 4
found 1
from 2
goes 1
guards 1
had 1
hamish 1
has 1
have 2
heart 2
helen 1
her 3
heroine 1
highly 1
historical 1
hoping 1
ideal 1
idealized 1
imprisoned 1
in 16
infanticide 1
influence 1
into 1
is 4
issues 1
it 1
italian 1
jacobitism 1
jeanie 6
jeanies 1
john 1
killed 1
killing 1
known 2
la 1
later 1
letter 1
london 2
lower 1
lynch 1
maccunn 1
main 1
many 1
midlothian 2
mob 1
moderate 1
moral 2
more 1
nevertheless 1
novel 5
novels 1
of 15
old 2
on 2
once 2
operas 1
order 1
ordered 1
out 1
over 1
pardon 1
partly 1
people 1
place 1
porteous 3
presbyterianism 1
presbyterians 1
prigione 1
prison 1
protagonists 1
put 1
queen 1
receive 1
received 1
rectitude 1
refers 1
religious 1
represented 2
ricci 1
ridicules 1
riot 1
riots 1
role 1
royal 1
scotland 1
scott 4
scottish 2
scotts 2
screen 1
second 1
seen 1
several 1
sister 1
smugglers 1
so 1
soldiers 1
stormed 1
story 1
sympathies 1
television 1
the 39
theme 1
these 1
through 1
time 1
title 1
to 9
tolbooth 2
travelled 1
two 2
unjustly 1
unsigned 1
upon 1
walker 2
was 5
way 1
while 1
who 3
with 2
woman 2
young 1
