1852781
/m/0612w3
/m/0612w3
Kazuo Ishiguro
1982-02
a 10
all 2
along 2
already 1
america 1
american 1
an 2
and 10
antisocial 2
as 6
at 2
back 1
be 2
bears 1
becomes 1
behavior 1
believed 1
britain 4
british 2
but 2
call 1
clearly 1
compromise 1
could 1
country 1
daughter 6
describes 1
dinnerplate 1
disturbing 1
during 1
easternsounding 1
elder 1
emerge 1
ends 1
etsuko 11
exceptionally 1
father 1
few 1
for 1
frank 1
friend 1
from 1
girl 1
give 1
grew 1
had 4
happy 2
has 1
have 1
her 14
here 2
herself 1
him 1
how 2
husband 5
i 2
idealistic 1
identified 1
in 7
increasingly 1
it 1
japan 2
japanese 2
jiro 1
keiko 4
kitchen 1
knew 2
later 1
learned 1
least 1
leave 1
left 1
life 2
live 2
lock 1
man 1
mariko 2
memory 1
met 1
modern 1
mother 1
moved 1
name 2
named 2
new 2
niki 5
older 1
on 1
only 2
over 2
own 1
paints 1
perfectly 1
pick 1
planned 1
rather 1
reader 1
really 1
recalls 2
reflects 1
room 1
sachiko 4
see 1
seems 1
she 7
similarities 1
slightly 1
so 1
soldier 1
solitary 2
something 1
sounds 1
story 1
striking 1
suicide 1
take 1
tells 2
that 3
the 5
they 1
this 1
timeshe 1
to 12
together 1
took 1
up 1
visit 1
wants 2
was 1
we 1
when 1
which 1
whom 1
with 4
woman 1
would 2
wouldnt 1
years 1
you 1
young 1
your 1
