12085856
/m/02vpcm8
/m/02vpcm8
Marilyn Manson

a 4
about 2
accompanying 1
adam 1
album 1
also 1
amused 1
amusement 1
an 2
and 12
another 1
anything 1
are 1
around 2
as 1
automatically 1
be 2
beats 1
become 1
becomes 1
before 1
beginning 1
being 2
belong 1
big 1
book 1
both 1
but 2
buying 1
by 1
can 1
cant 1
cell 1
change 2
character 1
city 1
compared 1
could 1
created 1
describing 2
different 1
disney 2
doesnt 2
dont 1
down 2
draw 1
enough 1
entire 1
every 1
everyone 2
everything 1
fall 1
fighting 3
finally 1
find 1
first 1
fit 1
for 2
from 3
game 1
getting 1
grace 1
has 1
hate 1
he 1
hollywood 1
holy 1
how 1
i 3
idealistic 1
if 2
in 6
innocent 1
inspiration 1
interesting 1
into 2
is 4
it 4
its 1
itself 1
just 1
kept 1
lifenbsp 1
like 3
making 1
manson 2
metaphor 1
metaphors 1
much 2
my 1
naive 1
novel 1
of 5
on 1
one 1
other 1
own 1
paradise 1
parallel 1
park 1
part 1
people 4
perfect 1
place 2
plot 1
prison 1
realize 1
really 1
represent 1
resent 1
revolution 1
said 1
same 1
see 1
seeing 1
setting 1
sex 1
so 1
some 1
something 1
stated 1
step 1
story 1
symbols 1
take 2
that 10
the 15
them 1
there 2
they 1
thing 1
think 3
this 2
thought 2
to 6
told 1
trade 1
used 1
very 1
violence 1
walt 1
want 1
wantingnbsp 1
was 4
way 1
ways 1
we 2
were 2
what 2
which 1
who 2
whole 2
wood 1
world 4
would 1
writing 1
you 17
your 1
yourself 1
