33435897
/m/0h97cmp
/m/0h97cmp
Robert Anthony Salvatore
2011-10-04
{"/m/01hmnh": "Fantasy"}
100 1
a 35
ability 1
able 6
aboleth 3
about 2
accept 1
accomplish 1
acquired 1
across 1
act 2
action 1
admiration 1
afar 1
after 7
aftermath 1
again 1
against 6
ago 2
aided 1
alegni 1
alive 2
alliance 3
allies 1
alone 1
also 5
alter 1
although 3
always 1
ambushed 1
ambushes 1
an 5
and 87
andahar 3
anger 1
antidote 2
any 2
anything 1
apartment 2
appearance 1
appears 1
are 19
arm 1
armor 1
arrives 4
artemis 4
arunika 4
as 13
ashmadai 4
assigned 1
assigns 1
assumes 1
at 4
athrogate 1
attack 3
attacked 2
attacking 1
attacks 4
attck 1
attend 1
attuned 1
back 3
badly 1
bandits 4
barrabus 16
battle 6
be 5
because 2
becoming 1
bed 1
been 1
before 7
begin 2
begins 5
begs 1
behalf 1
behind 2
being 4
believe 1
believes 2
below 1
beniago 4
best 1
between 2
black 1
book 1
bored 1
both 3
bridge 3
bring 1
broken 1
brought 2
brutality 1
business 1
but 13
by 20
call 1
called 1
camp 1
campaign 1
can 7
cannot 2
cant 1
capatins 1
captain 3
captains 3
capture 1
caravan 3
carried 2
carries 1
cataclysm 1
cautious 1
cave 1
champion 1
channel 1
chased 1
cheer 1
children 1
claims 1
clan 1
clarity 1
claw 1
combined 1
come 1
commands 2
companions 1
company 1
compelled 1
complete 1
concludes 1
conclusion 1
condition 1
conditionally 1
conquer 1
conquest 1
considered 1
contemplate 1
continually 1
continue 2
continues 2
control 1
convenience 1
conversation 1
convince 1
convinced 1
cornered 1
course 1
cunning 1
dagger 4
dahlia 35
dark 1
day 1
dead 2
death 1
deciding 1
declares 1
defeat 1
defeating 1
defeats 1
defend 1
deformed 1
demon 1
desperate 1
despise 1
destroy 1
destroying 1
detour 1
deudermont 1
devil 2
devils 2
devises 1
dhalia 1
did 3
die 1
different 1
direct 1
discern 1
disciple 1
displeased 1
do 4
does 4
doesnt 2
doing 1
dorcrae 2
dose 1
down 1
drawn 1
draygo 2
dread 7
driven 1
drizzt 42
dying 1
each 3
earlier 1
earns 1
efforts 1
effron 7
either 1
encounter 1
encrusted 2
ends 2
engage 1
engaged 1
enter 1
entering 1
entreri 5
errtu 1
escape 1
escaped 1
ethics 1
even 3
events 1
eventually 3
everything 1
except 2
exhibits 1
explain 1
explains 4
exploit 1
eye 1
face 1
failure 1
familiar 1
families 1
farm 1
farmers 1
farmhouse 2
farmlands 1
fatal 1
feed 1
few 2
field 1
fight 3
fills 1
final 1
finally 1
find 1
finds 3
finish 1
finished 1
first 2
five 1
foe 1
for 13
force 1
forced 1
forces 4
formed 1
