10819244
/m/02qr0v_
/m/02qr0v_
Meg Cabot
2004-04
{"/m/03mfnf": "Young adult literature"}
15th 1
a 9
about 1
accidentally 1
after 2
all 2
along 1
also 1
amps 1
and 20
apparently 1
are 1
around 1
arrive 1
ask 1
asks 1
at 6
back 1
band 3
base 2
become 1
before 1
believes 1
birth 1
birthday 6
blackmails 1
bleeding 1
boris 5
bowling 1
boyfriend 2
break 1
building 1
busboy 3
busboys 1
but 2
can 1
catch 1
causing 1
closet 2
comes 1
comfort 1
coming 1
convince 1
country 1
couple 1
dance 1
day 1
decisions 1
declines 1
detention 1
dinner 2
disaster 1
does 1
doesnt 1
down 1
drop 1
during 1
earns 1
empire 1
enters 1
everyone 1
expect 1
fact 1
family 1
fantasy 1
fell 1
fired 1
for 4
friends 2
from 2
game 2
getting 2
gifts 1
gives 2
globe 1
go 2
got 1
grandmere 3
guests 1
handsome 1
he 4
head 1
hear 1
heaven 1
hed 1
hell 2
her 19
him 4
his 5
home 2
if 1
in 10
incident 1
injuring 1
instead 1
into 2
is 4
it 2
jangbu 3
jumps 1
lana 1
later 1
leaves 1
leaving 1
letting 1
lilly 3
love 2
loves 1
luckily 1
makes 1
making 1
meal 1
meets 1
met 1
mia 8
michael 8
minutes 1
more 1
mother 1
much 1
name 1
necklace 1
now 1
of 4
on 7
one 1
only 1
out 2
parents 2
party 1
place 1
play 3
poodle 1
prom 6
protesting 1
puddle 1
purse 1
rather 1
reach 1
reaches 1
receives 1
refusal 1
restaurant 2
returns 1
rocky 1
royal 1
ruins 1
runs 1
saying 1
school 3
second 2
sending 1
senior 1
seven 1
severely 1
she 7
sing 1
skull 1
snowflake 1
so 3
song 1
spill 1
state 1
steps 1
stop 1
strike 1
strikes 1
suit 1
supplies 1
symbolises 1
take 2
taking 1
tells 1
that 6
the 24
their 1
them 2
then 1
thermopolis 1
thermopolisgianini 1
they 2
thinking 1
this 1
time 1
tina 2
to 7
too 1
town 1
try 1
turn 2
up 3
venue 1
when 3
which 1
while 1
who 1
whom 1
whose 1
winter 1
with 5
wont 1
wouldnt 1
