321363
/m/01vk8z
/m/01vk8z
Stanisław Lem
1986
a 26
aboard 1
about 1
above 1
accident 1
adopts 1
after 3
again 1
alien 1
aliens 2
allotted 1
allowed 1
also 1
ambassador 1
amnesia 1
among 1
an 4
and 9
anyone 1
are 7
around 2
arrangements 1
as 3
at 3
attempts 1
awakened 1
back 1
base 1
be 4
beams 1
been 2
before 3
begin 1
begins 1
being 1
beta 2
black 1
bodies 1
book 1
built 1
builtin 1
but 4
by 8
called 1
can 1
capable 1
cartoon 1
cataclysm 1
causes 1
century 1
chunks 1
civilization 1
clear 1
cleared 1
closing 2
clouds 1
cold 1
communicate 1
concentrating 1
concerns 1
conclusion 1
contact 5
continued 1
continues 1
contrary 1
crew 2
crewmen 2
cryogenic 1
dangerous 1
denizens 2
deploy 1
deployed 1
described 1
destroy 1
destroyed 2
destruction 1
detected 1
development 1
device 3
dilation 1
discovered 1
discovers 1
discovery 1
displaying 1
distant 1
distracted 1
does 1
dont 1
drive 1
during 2
effects 1
engage 1
engulfed 1
establish 2
eurydice 2
eurydika 1
even 1
event 2
exhibits 1
exhumed 1
expectations 1
expedition 1
explorer 2
fact 1
fail 1
fairy 1
falling 1
famous 1
fiery 1
finally 2
find 1
finds 1
firing 1
first 1
following 1
for 2
force 1
forced 1
fragments 1
from 1
frozen 1
future 1
gauge 1
get 1
geyser 2
giant 1
globally 1
governments 1
halting 1
hands 1
harboring 1
harpiae 2
has 3
have 2
he 11
hermes 4
hide 1
high 2
himself 1
his 6
hole 1
horizon 1
horror 1
however 2
humans 2
ice 1
identity 1
if 2
images 1
impact 1
impacting 1
implosion 2
impossible 1
in 7
industrial 1
intelligent 1
intentions 1
investigating 1
is 13
it 5
its 1
just 1
landing 3
laser 2
last 2
launches 1
lem 1
lens 1
life 2
likelihood 1
locals 2
lost 1
machine 2
main 1
make 2
man 2
maneuvers 1
mates 1
may 1
means 1
mechalike 1
meeting 1
men 1
minimize 1
missiles 1
missing 1
mission 1
moon 3
more 2
mound 1
mounds 1
name 1
names 1
narrowed 1
near 1
nearby 1
never 1
new 1
no 3
not 1
notices 1
of 25
on 7
one 1
only 1
onto 1
open 1
opens 1
or 3
orbit 1
order 1
organs 1
others 2
out 3
p 1
parvis 2
peaceful 1
peculiar 1
people 1
perform 1
pieced 1
pilot 2
pirx 3
planet 8
point 1
possible 1
powerful 1
precisely 1
preparations 1
projecting 2
prologue 1
quinta 2
quintans 8
reaches 1
realizes 1
receive 1
regard 1
region 2
replica 1
report 1
retaliate 1
return 1
revealed 1
revived 1
ring 1
rockets 1
run 1
safety 2
saturn 1
scouts 1
seeing 1
seems 1
send 1
sending 1
sent 2
set 1
sets 1
several 3
share 1
shattering 1
ship 1
shortly 1
should 1
shovel 1
show 1
signaling 1
signs 1
site 1
small 1
smaller 2
so 2
society 1
some 1
spaceship 2
staging 1
star 1
starship 2
state 2
story 2
strangelooking 1
strangely 1
strider 1
structure 1
success 2
suffers 1
suggestion 1
surface 2
surprisingly 1
symmetry 1
taken 1
tale 1
tales 1
tempe 5
than 1
that 6
the 67
their 3
them 3
there 3
they 3
this 2
those 1
thrown 1
time 3
titan 2
to 31
together 1
trace 1
travels 1
triggers 1
trust 1
try 1
two 1
unclear 1
undermining 1
unfortunately 1
unified 1
unwilling 1
up 1
used 1
ventures 1
visitors 1
voyage 1
warlike 1
warned 1
way 1
weapon 1
were 2
what 1
when 1
where 2
whether 1
which 5
who 3
whose 1
will 1
with 9
without 1
working 1
young 1
