31110935
/m/0gh89c8
/m/0gh89c8
Fyodor Dostoyevsky

a 12
about 1
acquaintance 1
affair 1
again 1
alcoholic 1
alexander 1
alexei 1
an 3
and 6
army 1
asking 1
asks 1
at 1
be 1
became 1
biological 1
boy 1
bracelet 2
brings 1
but 2
buys 1
by 2
civil 1
daughter 3
daughters 1
defend 1
dies 1
doesnt 2
during 1
eight 2
engaged 1
family 1
father 1
fiancee 1
fifteen 1
for 1
foster 1
from 1
game 1
gives 1
had 1
hand 1
has 1
he 3
her 1
hideandseek 1
him 7
himself 1
his 4
ignore 1
in 2
injuring 1
invitation 1
invites 1
is 6
it 1
ivanovich 1
kill 1
knife 1
land 2
later 1
left 1
liza 4
lobov 1
locked 1
manages 1
marry 2
meet 1
nadia 3
natalia 1
new 1
night 1
nineteen 1
now 1
of 5
officer 1
old 4
owner 1
pavel 1
pavlovich 1
petersburg 1
piece 1
railway 1
raised 1
razor 1
realizes 1
receives 1
recently 1
remarried 1
return 1
ridiculed 1
room 1
saint 1
secretly 1
servant 1
she 2
sixth 1
sometime 1
spends 1
station 1
stays 1
takes 1
tell 1
that 1
the 6
them 1
there 1
this 1
to 13
travelling 1
trial 2
tries 1
trusotsky 11
two 1
up 1
velchaninov 9
visit 3
want 2
wants 1
when 1
who 3
widower 1
wife 3
with 4
won 1
year 3
young 1
zakhlyobinin 2
