14864793
/m/03g_mnd
/m/03g_mnd
Caroline Graham
1988
a 4
again 1
aided 1
an 2
and 2
as 3
at 1
attack 1
autopsy 1
badger 2
barnaby 1
be 1
before 1
bellringer 1
between 1
but 1
by 2
claiming 1
claims 1
connection 1
corpse 1
crime 1
current 1
dead 1
dennis 1
descends 1
did 1
die 1
discovered 1
doctor 1
drift 2
elderly 1
emily 1
fact 1
fictional 1
found 1
friend 1
gavin 1
he 1
heart 1
hemlock 1
her 5
in 3
insists 1
into 1
investigates 1
is 1
killings 1
leaving 1
life 1
local 1
miss 1
mix 1
mrs 1
murdered 1
murderer 1
not 1
of 4
older 1
panic 1
proves 1
rainbird 1
red 1
right 1
sgt 1
simpson 1
son 1
soon 1
strikes 1
system 1
that 1
the 7
to 1
troy 1
uncovers 1
undertaker 1
village 2
was 1
while 1
wine 1
woman 1
