25903661
/m/0b6d81w
/m/0b6d81w
Timothy Brook


17th 1
18th 2
1th 1
a 11
ability 1
abundance 1
according 2
actually 1
adds 1
adequate 1
advanced 1
advances 1
affordable 1
africa 1
alludes 1
along 2
also 2
america 2
americas 1
an 4
analyzing 1
ancestors 1
and 35
are 1
argues 1
around 1
artefacts 1
as 5
asia 1
at 3
author 3
authority 1
available 2
base 1
be 3
beaver 2
became 1
become 1
becoming 1
been 1
before 1
beginning 1
being 1
between 2
book 2
borders 1
bowl 1
brook 8
builds 1
burton 1
but 1
by 2
came 1
carpet 1
case 1
causes 1
centuries 1
century 3
china 4
chinese 7
coin 1
colonies 2
commissioned 1
commodities 1
company 1
competing 1
contrast 1
control 1
copper 1
corporation 1
cosmopolitan 1
costs 1
countries 1
country 1
cover 2
delft 2
detailing 1
did 3
disadvantage 1
discovery 1
documents 1
doing 1
down 1
driven 1
due 1
during 1
dutch 2
each 2
east 1
effects 1
emergence 1
empires 1
england 1
entitled 1
establish 1
europe 3
european 1
evidence 2
examine 1
examining 1
example 1
exchange 1
experience 1
explains 1
exploration 1
exploring 1
facilitated 1
families 1
featured 1
felt 1
fight 1
find 1
finds 2
first 1
for 3
forced 1
foreground 1
france 1
french 2
frequently 1
from 5
front 1
fur 1
gaze 1
girl 2
given 1
globalization 2
goes 1
going 1
goods 1
grew 2
growth 1
guns 1
had 7
hat 1
having 1
he 3
help 1
helped 1
here 1
his 4
households 1
however 1
huge 1
idea 1
ideas 1
ie 1
imperial 1
in 32
including 2
increasingly 1
india 1
indra 1
information 1
intention 1
interconnectedness 1
interest 1
intersect 1
into 1
introduce 1
is 7
issue 1
it 5
its 4
itself 2
johannes 1
join 1
journeys 1
just 1
lacked 1
landscape 1
large 1
late20th21stcentury 1
laughing 1
lengthy 1
less 1
letter 1
life 1
light 1
limited 1
linguistic 1
lived 1
look 1
made 1
maintains 1
many 1
maps 1
metallic 1
metaphor 2
modern 1
money 1
more 2
most 1
moving 1
much 1
multinational 1
multiplicity 1
narrative 1
nations 1
navigation 1
necessary 1
needed 1
needs 1
negotiate 1
net 1
netherlands 3
no 1
north 2
northwest 1
not 4
occupation 1
of 26
officer 1
often 2
on 5
open 1
operating 1
operations 1
or 1
origin 1
other 3
out 2
outside 2
outwardlooking 1
painting 3
paintings 3
part 1
passage 1
patriotic 1
people 3
perceived 1
periods 1
phenomena 1
phenomenon 1
picture 1
pictureportals 1
played 1
popular 1
porcelain 3
port 1
possible 1
powerful 1
powers 1
price 1
pride 1
problem 1
producing 1
prohibited 1
prominent 1
put 1
quasigovernmental 1
readers 1
reading 1
reflected 1
resource 1
role 1
roots 1
route 1
said 1
same 2
sarah 1
says 1
scant 1
seen 1
setting 1
sharp 1
she 1
shedding 1
shipbuilding 1
showing 1
shown 1
simply 2
slaves 1
so 2
socioeconomic 1
sovereign 1
spanish 1
speaks 1
spectator 1
standing 1
started 1
states 1
stereotypical 1
studying 1
subject 1
such 2
sugar 1
surprise 1
taken 1
talk 1
technological 1
technology 2
terms 1
territory 1
that 10
the 61
their 7
them 2
there 1
they 3
things 1
this 7
threats 1
through 1
time 3
title 1
to 25
tobacco 1
trade 7
traded 1
traders 3
treaties 1
turkish 1
underfur 1
understand 1
up 2
used 1
uses 3
venture 1
vermeer 4
very 2
via 1
view 3
wage 1
walls 1
want 1
wanted 1
war 1
was 8
wasnt 1
way 4
ways 1
we 2
wealthy 1
went 1
were 6
when 2
which 9
widely 1
window 1
with 5
wood 1
world 8
would 1
writing 1
