348200
/m/01yy_9
/m/01yy_9
John Brunner
1968
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel", "/m/026ny": "Dystopia"}
160s 1
2010 1
a 18
advance 1
afram 1
african 2
age 1
allpowerful 1
although 1
ambivalent 1
american 1
amok 1
an 5
and 12
another 1
apartment 2
are 6
armored 1
as 5
at 2
attitude 1
australasian 1
based 2
be 2
benin 2
beninia 1
bid 1
bight 1
bisexuality 1
bivving 1
book 2
breakthrough 1
bringing 1
brunner 2
by 2
c 1
called 1
can 1
car 1
centres 1
certain 1
chad 1
clearly 1
close 1
codder 1
commissioned 1
concepts 1
concern 1
corporations 1
country 1
cross 1
dahomey 1
deal 1
development 1
disguised 1
divisions 1
donald 3
duty 1
economic 1
education 1
element 1
engineering 1
enormous 1
entire 1
eptification 1
eugenic 1
eventually 1
everywhere 1
examples 1
executive 1
extrapolation 1
extremism 1
fairly 1
fictional 3
first 1
for 3
form 1
frequent 1
from 2
future 2
futuristic 1
general 2
genetic 1
genetically 1
government 1
guesses 1
has 1
he 2
hell 1
heritage 1
hipcrime 1
his 2
hogan 5
house 3
ideas 1
impact 1
implications 1
important 1
in 8
include 1
indonesia 1
interactive 1
introduced 2
investigate 1
is 12
its 1
key 1
kind 1
known 1
legislation 1
main 2
major 1
making 1
man 1
management 1
many 2
men 1
mental 1
microorganisms 1
mindset 1
modified 1
mostly 1
mr 1
mrs 1
mucker 1
mulligan 1
name 1
named 1
nation 2
new 2
niblock 1
norman 1
not 1
nowhere 1
number 1
of 16
officer 1
offyourass 1
on 3
one 1
other 1
others 1
out 2
over 1
paragraph 1
part 1
particular 1
person 1
played 1
plot 2
plots 3
police 1
population 1
position 1
possessing 1
potential 1
presented 1
products 1
program 1
programming 1
prowlie 1
quotations 1
real 1
reallife 1
reminiscent 1
republic 1
risen 1
rising 2
running 1
second 1
seems 1
sent 1
services 1
set 1
shalmaneser 1
share 1
shares 1
shiggy 1
shock 1
show 1
shows 1
single 1
slang 2
social 3
sociologist 1
some 2
soon 1
sources 1
speed 1
spy 1
state 2
states 1
status 1
story 1
stresses 1
student 1
supercomputer 1
synthesist 1
take 1
tasks 1
technics 2
technological 1
technology 1
television 1
terrorist 1
that 2
the 21
their 2
third 1
this 1
though 1
to 8
trends 2
twentysix 1
two 3
undercover 1
united 1
up 2
us 1
used 1
using 1
vicepresident 1
viewer 1
vignettes 1
vocab 1
was 2
weapons 1
when 1
where 1
whereinole 1
which 2
who 1
widening 1
with 3
woman 1
work 1
works 1
world 4
written 1
yatakang 1
york 1
