850144
/m/03g_q1
/m/03g_q1
John Irving
1974-08-12
{"/m/05hgj": "Novel"}
158pound 1
a 16
able 1
about 1
acquainted 1
affair 2
affairs 1
after 1
against 1
also 1
an 4
and 23
another 1
are 4
arranged 1
as 1
aspiring 1
at 7
attempt 1
attracted 1
austria 3
author 1
background 1
became 1
because 1
become 2
becomes 2
been 1
begin 1
begins 3
beneath 1
biology 1
bit 1
but 1
buying 1
by 1
cannot 1
children 3
class 1
coach 1
college 2
competitive 1
completely 1
conflict 1
considers 1
couples 3
curiosity 1
dates 1
deeine 1
degree 1
department 1
depressed 1
despondent 1
devastated 1
developed 1
did 2
different 1
dinner 1
dinners 1
discover 1
discovered 1
do 1
doing 1
each 2
edith 8
elite 1
emerges 1
emotional 2
encounters 1
end 2
ends 2
enough 1
entering 1
entirely 1
events 1
eventually 1
existence 1
faculty 1
fall 1
fallen 1
fallout 1
features 1
feel 1
feelings 2
fiction 1
first 1
follow 1
for 10
forgive 1
foursome 1
fragments 1
from 2
frun 1
furious 1
genuine 1
german 2
had 3
have 2
he 5
head 1
her 11
him 3
himself 2
his 3
historical 1
honest 1
hope 1
however 1
husband 3
identifies 1
ii 1
in 5
indicating 1
inflicted 1
interact 1
involved 1
involving 1
iowa 1
is 7
it 2
its 2
learning 1
least 1
leaves 1
left 2
letters 1
leverage 1
liaison 1
likewise 1
live 1
love 2
ltvidutinio 1
mails 1
mariage 1
marriage 1
married 1
mend 1
mentorprotg 1
met 2
mittelgewichtsehe 1
moma 1
more 1
most 1
motives 1
move 1
moyen 1
name 1
narrator 9
native 1
never 1
not 3
novel 4
novels 1
now 1
obsessive 1
occupation 1
of 12
on 2
one 1
opening 1
orphaned 1
other 2
out 1
own 1
pains 1
part 1
party 1
passport 2
pawn 1
peculiar 1
placid 1
playdates 1
plmaestwo 1
poids 1
predniej 1
prior 1
privileged 1
proceed 1
prodigy 1
professor 2
prominentlythe 1
protg 1
provide 1
ready 1
rears 1
reciprocate 1
refers 1
relationship 4
relatively 2
repair 1
research 1
returning 1
revealed 2
russian 1
salvage 1
same 1
santuoka 1
school 2
seem 1
severin 9
sexual 2
sexually 1
sharing 1
she 9
siege 1
sleep 1
small 2
smoothly 1
so 1
some 1
sometime 1
soon 3
sort 1
sport 1
spouses 1
story 1
submerged 1
subplot 1
superior 1
survivor 1
svorio 1
swinging 1
takes 2
teacher 1
team 1
that 7
the 34
their 7
them 1
thereafter 1
they 2
this 2
though 1
through 1
title 1
to 17
trading 1
transfers 1
trip 1
two 2
ugly 1
ultimately 1
unsuccessful 1
until 1
upon 1
utch 9
vienna 2
vienneseborn 1
wagi 1
war 1
wasp 1
weight 1
weightand 1
when 2
which 1
while 4
who 3
wife 2
winter 4
winters 2
with 14
world 1
would 1
wrestling 3
writer 1
writes 1
