1221489
/m/04jnrl
/m/04jnrl
Elleston Trevor
1964
a 11
accompany 1
action 1
adding 1
aeronautical 1
afraid 1
after 2
aide 1
aircraft 5
among 1
an 2
and 8
ankle 1
another 2
are 2
arrogant 1
as 2
ask 1
at 1
away 1
bag 1
barely 1
be 1
begin 1
begins 1
believe 1
blown 1
bodies 1
book 1
boom 1
british 1
brother 1
but 2
can 1
captain 2
civilization 1
claims 1
couple 1
course 1
crash 1
cut 1
damaging 1
day 1
days 2
decides 1
desert 1
designing 1
discovery 1
distant 1
does 1
doomed 1
down 1
effect 1
engineer 1
english 1
far 1
feigns 1
ferrying 1
finds 2
flies 1
follows 1
for 3
forces 1
frank 1
from 2
fullscale 1
fuselage 1
german 2
goes 1
gone 1
harris 4
has 1
he 2
help 1
him 2
his 2
however 1
in 2
injuring 1
instead 1
is 3
it 1
jebel 1
job 1
join 1
keep 1
killing 1
later 2
lew 1
libyan 2
like 1
look 1
loomis 1
looted 1
lost 1
man 1
manages 1
marches 1
men 1
mixed 1
model 1
morale 1
moran 2
mythical 1
named 1
navigator 1
new 1
next 1
nomadic 1
nomads 1
not 2
now 1
oasis 2
of 10
off 2
oil 2
old 1
on 1
one 1
ones 1
others 1
out 4
outside 1
part 1
party 1
passenger 1
passengers 2
phoenix 1
pilot 1
place 1
plan 1
plane 1
point 1
precise 1
proposes 1
radical 1
real 1
reborn 1
rebuild 1
refuses 1
rescue 1
return 1
run 1
sahara 1
sandstorm 1
searchers 1
secret 1
sergeant 2
set 1
several 1
severely 1
site 1
skids 1
soldiers 1
solution 1
spot 1
sprained 1
storm 1
strapped 1
stringer 3
survivor 1
survivors 1
take 1
takes 1
texan 1
that 1
the 26
their 2
them 5
they 5
third 1
though 1
throats 1
to 11
together 1
toward 1
town 1
towns 3
tribesmen 1
turn 1
twinboom 1
two 1
undamaged 1
unexpected 1
using 1
visiting 1
wait 1
was 1
water 1
watson 2
where 1
who 1
with 2
work 1
workers 1
worry 1
would 1
wreckage 1
wrong 1
