29449367
/m/0h3m4k3
/m/0h3m4k3
Robert Muchamore

400 1
a 11
about 2
account 1
across 1
after 4
afterall 1
again 1
allowed 1
almost 1
also 3
amy 1
and 17
aramov 1
around 1
as 7
at 2
back 5
bank 1
be 2
becomes 1
before 1
begins 1
being 9
best 1
between 1
boarding 1
bomb 1
bond 1
bonding 1
book 3
bottom 1
boxing 1
britain 4
but 2
by 3
called 1
campus 2
can 1
candidate 1
car 1
care 1
champion 1
chaoxiang 1
characters 1
cherub 5
china 3
chinese 1
clan 1
completed 1
concludes 1
controller 1
countries 1
d 1
dad 1
dandong 1
deal 1
deported 1
despite 1
details 1
died 2
doesnt 1
dr 1
duty 1
else 1
end 2
ends 1
escape 1
escaping 2
ethan 7
eventually 2
everyone 2
finds 1
finishes 1
flee 1
for 3
forced 1
friend 2
friendship 1
fu 1
gangsters 1
get 2
gets 1
getting 1
girl 1
gives 1
go 1
going 2
hand 1
has 5
having 2
he 3
head 1
helped 1
her 10
herself 1
him 3
his 6
hit 1
hitting 1
hours 1
house 1
however 1
husband 1
illegal 1
immigrants 1
in 4
infiltrate 1
ingrid 4
into 3
introduced 1
introduces 1
involved 1
involvement 1
is 12
join 1
just 3
kitsell 1
kyrgyzstan 2
labour 1
labouring 1
laps 1
lawyer 1
learn 1
leaves 2
leaving 3
life 2
lives 1
living 1
lombardi 1
making 1
manages 1
meanwhile 1
meet 1
mental 1
mission 2
money 1
motel 1
mum 1
ning 4
ningafter 1
no 3
not 1
of 6
off 1
on 2
only 2
out 2
over 2
own 1
owned 1
parents 1
part 1
people 1
perefect 1
phesique 1
placed 1
plane 1
plot 1
point 1
punished 1
punishment 1
questioned 1
questioning 1
recycling 1
republic 1
required 2
rotates 1
run 1
ryan 9
sandwiches 1
saved 1
saving 1
school 1
sending 1
sent 1
sharma 1
she 6
showing 1
smart 1
smuggled 1
so 2
some 1
stepmum 1
still 1
story 1
streak 1
support 1
taken 3
that 1
the 18
then 2
there 3
they 2
this 2
through 1
to 25
tortured 2
touch 1
tour 1
training 1
tried 1
try 1
trying 1
two 1
unfortunately 1
up 3
us 1
usa 1
very 1
wanted 2
wanting 2
warehouse 1
was 3
way 1
we 1
well 1
were 1
when 1
where 2
with 10
work 2
