10818331
/m/02qq_s2
/m/02qq_s2
Eleanor Cameron
1960
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 2
after 2
ailing 1
and 2
attempt 1
basidium 1
bass 1
be 1
bones 1
boys 1
brumblydge 1
chuck 1
cliffs 1
connections 1
customs 1
david 1
departure 1
discover 1
discovery 1
earth 1
fossils 1
halfmillionyearold 1
history 1
leads 1
mushroom 1
mycetian 1
mycetians 1
new 1
no 1
of 4
on 1
people 1
prewytt 1
prompting 1
recordbreaking 1
reveal 1
should 1
some 1
storm 1
such 1
the 6
them 1
to 3
trip 1
tyco 2
unexpected 1
unscheduled 1
where 1
