73670
/m/0js1m
/m/0js1m
Charles Dickens
1843-12-19
1843 1
a 23
about 1
accompany 1
achieving 1
act 1
additional 1
after 3
afterlife 1
allowing 1
also 1
and 15
anonymously 1
apparition 1
as 4
at 1
attend 1
aver 1
awakens 1
away 2
bad 1
bandage 2
be 1
become 1
begins 1
belongings 1
benevolence 1
biting 1
bleak 1
bob 2
book 2
books 1
boyhood 1
breast 1
business 1
businessmen 1
but 1
buying 1
by 3
calling 1
cannot 1
celebration 1
cellar 1
change 2
changing 1
chapters 1
charity 1
charwoman 1
chimes 2
chin 1
chirps 1
christmas 16
clerk 2
clock 1
closes 1
clutching 1
cold 1
come 1
compassion 2
completeness 1
confirming 1
considering 1
cottage 1
covetous 1
cratchit 4
cricket 1
custom 1
dark 1
day 2
death 2
december 1
decent 1
describes 1
detailed 1
device 1
dickens 2
different 1
differing 1
dilber 1
dinner 4
dire 1
dislikes 1
dismal 1
divides 1
divisions 1
does 2
donation 1
down 1
dropped 1
due 1
each 2
ebenezer 1
embodies 1
established 1
eve 1
evening 1
every 1
exactly 1
excuse 1
facehad 1
family 2
feast 1
fellow 1
fence 1
fifth 1
final 1
first 2
five 1
for 4
four 1
fred 1
from 1
future 1
gaining 1
generosity 1
gentle 1
gentlemen 1
ghost 4
ghostsnbsp 1
gift 1
given 1
grasping 1
grave 1
greater 1
had 1
harrows 1
has 5
hates 1
he 11
head 2
heart 1
hearth 1
him 3
himself 1
his 14
home 2
hope 1
hopes 1
horror 1
how 1
humbug 1
if 3
ill 1
impoverished 1
in 11
including 1
indoors 1
innocent 1
into 1
introducing 1
invitation 1
is 11
it 6
its 6
jacob 1
jaw 1
joe 1
joy 1
joyfilled 1
keep 1
keeping 1
kindness 2
labels 1
learn 1
lest 1
life 1
light 1
lighthouse 1
like 1
lobster 1
love 1
lower 1
lunch 1
made 1
major 1
makings 1
man 2
mans 1
market 1
marley 4
may 1
men 1
miner 1
miser 3
miserable 1
more 1
morning 1
mrs 1
much 1
named 1
naming 1
narrator 1
neglected 1
nephew 2
next 1
no 1
not 1
now 1
of 25
off 2
old 3
on 3
only 2
or 2
overnight 1
overworked 1
own 1
part 1
partner 1
parts 1
passed 1
past 1
pay 2
people 1
permanence 1
phantom 1
picking 1
place 1
planned 1
pocket 1
poor 2
present 1
prize 1
prompting 1
provide 1
provided 1
quarterhour 1
quarters 1
receive 1
refuses 1
reminding 1
reputation 1
returning 1
revealed 1
round 1
rudely 1
same 1
scenes 3
scraping 1
scrooge 19
second 1
seek 1
sending 1
separate 1
seriously 1
seven 1
several 1
shadows 1
show 1
shown 1
side 1
similar 1
sinner 1
social 1
some 1
son 1
song 1
spends 1
spirit 3
spirits 1
squeezing 1
stanzas 1
stave 3
stavenbsp 1
staves 1
stir 1
stolen 1
story 1
taken 1
takes 2
taking 1
tale 1
tender 1
that 5
the 40
them 1
then 3
these 1
they 1
third 1
this 1
three 1
thus 1
tied 1
tim 2
time 1
tiny 2
title 1
titling 1
to 14
tolling 1
too 1
top 1
transformation 2
treatment 1
treats 1
turkey 1
turn 1
turns 1
twentyfifth 1
two 2
under 1
undergo 1
underpaid 1
untended 1
unwillingness 1
up 1
upon 2
uses 1
validity 1
various 1
verses 1
visions 1
visit 1
visited 2
wage 1
warm 1
warns 1
was 2
ways 2
wear 1
were 1
what 3
when 2
where 1
which 3
who 5
why 1
will 1
with 10
within 1
witnessed 1
wrenching 1
years 1
yet 1
youngest 1
youth 1
