467482
/m/02d0k0
/m/02d0k0
Susan Sontag
1966
a 13
about 1
abundance 1
against 2
aggressive 1
alert 1
alike 1
allegorical 1
almost 1
also 1
an 6
analysis 1
and 24
annihilated 1
appears 1
apply 1
appreciation 2
approach 1
are 1
art 11
artists 1
artwork 3
artworks 1
as 2
aspects 1
asserts 2
audiences 1
averse 1
back 1
be 3
been 2
begins 1
being 1
believes 3
between 2
bring 1
by 4
can 1
certain 2
challenges 1
claiming 1
claims 1
classical 1
comfortable 1
complex 1
complicated 1
conflict 1
considers 1
contemporary 2
content 4
contentbased 1
corroboration 1
criticism 2
damages 1
damaging 1
daringly 1
date 1
degrade 1
degrading 1
descriptive 1
desires 1
despised 1
destroy 1
developing 1
different 1
dilemma 1
diminished 1
discusses 1
divisions 1
does 2
due 1
dulled 1
effect 1
emphasis 1
enforcing 1
engulf 1
equally 1
essay 1
essays 1
even 1
excavatedestroy 1
experience 2
extent 2
fallacious 1
for 1
form 3
formalist 1
freedom 1
freudian 1
given 1
grown 1
harmful 1
has 3
have 2
her 1
hermeneutics 2
honour 1
how 2
impious 1
importance 1
impossible 1
in 5
inevitably 1
intention 1
interests 1
interpretation 15
is 9
it 4
keenly 1
kinds 1
layers 1
level 1
limitations 1
loss 1
lost 2
magical 1
maintaining 1
making 1
manageable 1
manner 1
marxian 1
mass 1
material 1
meaning 1
means 1
meet 1
modern 6
modernity 1
more 1
mucking 1
nature 1
of 30
on 2
one 3
or 2
original 1
other 1
overabundance 1
overload 1
overproduction 1
own 1
particular 1
particularly 1
past 1
physical 1
piece 2
placed 1
placing 1
pleasure 1
present 1
presents 1
previous 1
primitive 1
production 1
quite 2
rather 2
readings 2
recognised 1
reducing 1
refers 1
relation 1
resolve 1
respect 1
respected 1
responder 1
response 1
revamping 1
reveal 1
reverting 1
rules 1
seem 1
seen 1
sees 1
seminal 1
senses 2
sensitivity 1
sensorial 1
sensory 1
sensual 1
sensuous 2
separates 1
she 5
solution 1
sontag 11
sought 1
stifling 1
strives 1
strong 1
strongly 1
style 6
subjective 1
such 1
surface 1
surround 1
taming 1
than 1
that 19
the 21
theories 1
theory 2
they 1
thickened 1
this 2
though 2
thus 1
to 24
two 1
type 1
up 1
upon 2
vocabulary 1
was 1
way 1
what 2
whatever 1
where 2
with 2
within 1
without 1
work 2
works 1
world 1
