5596254
/m/0dvcwp
/m/0dvcwp
Elmore Leonard
1977-05
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
8 1
a 9
along 1
also 1
and 2
as 3
be 1
becomes 1
best 1
blonde 1
bobby 1
book 1
but 1
butts 1
by 1
case 1
caught 1
characters 1
crimes 1
crossfire 1
dead 1
detroit 1
dick 1
dont 1
dude 1
elmore 1
emulated 1
escape 1
everyone 1
exploits 1
finding 1
fire 1
follows 1
for 4
found 1
from 1
gangster 1
godfather 1
guts 1
haircut 1
has 1
hates 1
heads 1
him 1
his 4
homosexual 1
hotel 1
in 4
including 1
is 4
isnt 1
jack 2
known 1
leads 1
lear 1
leonard 1
lethal 1
local 1
lonnie 1
man 2
meeting 1
men 1
missing 2
much 1
named 1
nameless 1
nasty 1
note 1
novel 1
of 7
only 1
other 1
perhaps 1
place 1
plants 1
police 1
pretty 1
prey 1
process 1
remembered 1
reputation 1
room 1
royal 1
ryan 3
search 1
seemingly 1
sequence 1
server 1
several 1
shotgun 1
sixshootercarrying 1
speed 1
stockholder 1
straight 1
string 1
suddenly 1
superfly 1
taken 1
target 1
the 10
this 2
thug 1
to 3
triplecross 1
unfortunate 1
unknown 2
unrelated 1
very 2
victim 1
virgil 2
wannabe 1
want 1
wants 1
was 1
way 2
where 1
who 3
whose 1
with 1
worst 1
