26391349
/m/0bbvkbq
/m/0bbvkbq
Lin Carter

{"/m/01hmnh": "Fantasy"}
a 9
accompanies 1
additional 1
adventures 3
airgondola 1
all 2
an 1
and 11
antagonists 1
are 1
as 1
at 1
barbarians 1
be 2
because 1
been 1
being 1
between 1
bisexual 1
boy 1
by 2
captivities 1
carnivore 1
chanthu 1
city 1
companions 2
consider 1
course 1
dangerous 1
decadence 1
depraved 1
destiny 1
devolves 1
dim 1
discover 1
distracted 1
during 1
either 1
ends 1
enslaved 1
escapes 1
evalla 2
feline 1
flying 1
for 2
foundling 1
friend 1
from 1
full 1
girl 1
goddess 1
guardian 1
has 1
her 9
heritage 1
highly 1
his 1
honorable 1
hotbed 1
in 3
including 1
inhabitants 1
inhibited 1
intelligent 1
intercourse 1
into 1
is 3
khaldur 1
lecherous 1
lion 1
lionlike 1
magic 1
magical 1
maid 1
maintain 1
male 1
manages 1
member 1
minions 1
mysteries 1
mysterious 1
mystery 1
new 1
northern 1
novel 1
of 14
on 2
onward 1
opportunities 1
or 1
order 2
ordinary 1
origins 1
paltossa 1
perversion 1
picks 1
play 1
primarily 1
protector 1
proves 1
provide 1
quest 3
quite 1
raised 1
realm 1
requirement 1
reunited 1
sarkon 1
seem 1
sent 1
separated 1
series 1
sex 1
she 5
sixteen 1
somehow 1
sorcerer 2
sorceresses 1
strict 1
successively 1
swordswomen 1
tara 3
technical 1
teenage 1
the 20
their 1
three 1
throughout 1
thund 1
to 6
too 4
travelers 1
turn 1
twilight 2
unfinished 1
unfortunately 1
unresolved 1
up 1
various 1
violence 1
virgin 1
virginity 2
war 1
ward 1
warrior 1
which 1
while 1
whom 1
witch 1
with 3
womanthing 1
wood 1
zorak 1
