15686522
/m/03npxsm
/m/03npxsm
Graham Salisbury
2005
{"/m/02p0szs": "Historical fiction", "/m/0hwxm": "Historical novel"}
141 2
16 1
18 1
7 1
a 4
accidental 1
after 1
against 1
along 1
altering 1
and 9
appear 1
are 4
army 3
as 3
assigned 1
assistance 1
attacks 2
back 1
becomes 1
betraying 1
birth 1
boat 2
boy 1
brother 1
but 1
by 3
call 1
calls 1
camp 1
cat 1
certificate 1
coast 1
combat 1
comes 1
commissioned 1
commute 1
company 1
comrades 1
continue 1
december 1
deemed 1
delano 1
demoralizes 1
digging 1
do 1
dog 2
dogs 4
eddy 7
embark 1
enemy 1
enlist 1
european 1
evaluates 1
father 1
feels 1
few 1
for 2
forced 1
franklin 1
friends 2
from 1
go 1
government 1
grueling 1
guard 1
harbor 1
harshly 1
has 1
he 3
herbie 1
his 5
honolulu 1
illegally 1
in 6
is 9
island 2
it 1
japan 2
japanese 5
japaneseamerican 1
joins 1
kill 1
killed 1
labor 1
late 1
later 1
lieutenant 1
lives 1
mainland 1
manual 1
mccoy 1
mission 1
mississippi 1
mobilized 1
motor 1
must 1
nationalities 1
nearly 1
now 1
numerous 1
observes 1
of 4
old 2
on 3
once 1
opposes 1
other 1
pacific 1
pearl 1
people 1
project 1
regular 1
released 1
roosevelt 1
secret 1
severely 1
shoots 1
slightly 1
smell 1
smith 1
so 1
soldiers 5
soon 1
stalls 1
starts 1
story 1
strongly 1
such 1
suspecting 1
sweet 1
that 3
the 23
theater 2
their 2
them 1
then 2
they 6
this 4
to 6
track 1
trained 1
trainer 1
training 3
treat 1
treatment 2
trenches 1
unsuccessful 1
us 2
war 1
weeks 1
were 1
when 4
where 1
which 2
while 1
who 1
will 1
with 2
worse 1
worsens 1
would 1
years 2
