9053484
/m/027vyw_
/m/027vyw_
Robert Muchamore
2006-10-19
14 1
a 7
about 1
afm 1
all 2
always 1
and 10
andy 1
animal 3
annoy 1
annoyed 1
are 1
asker 1
asks 1
assaulted 1
at 1
back 1
bag 1
basic 1
be 1
because 1
becomes 2
before 1
being 3
best 1
bethany 2
blackmailed 1
blackmails 1
book 2
boy 1
boyfriend 1
bring 1
brother 1
but 3
by 5
called 2
car 1
caught 1
cctv 1
chairman 1
chairwoman 1
chapter 1
cheating 1
company 1
compound 2
crush 1
dog 1
dogs 2
down 1
dozens 1
dr 1
due 1
during 1
end 2
ends 1
excon 1
fine 1
food 2
for 2
freedom 2
friend 1
from 2
get 3
getting 2
girls 1
give 1
goes 3
group 1
he 3
help 1
her 6
him 3
his 4
home 1
house 1
in 4
into 2
invited 1
is 3
jake 1
james 7
joins 1
keeping 1
kerry 2
kyle 2
lauren 10
mac 1
many 1
masked 1
mcafferty 1
meat 1
meatball 1
meets 1
men 1
met 1
militia 2
mission 5
more 1
mother 1
not 1
of 1
old 2
on 6
onto 1
over 1
overwhelmed 1
pierce 1
plane 1
protest 1
punished 1
puppy 2
puts 1
rat 1
refuses 1
rescue 1
rescued 1
rescuers 1
rescuing 1
retires 1
return 1
rights 1
room 1
run 1
saving 1
sent 1
she 1
sister 1
skips 1
sneak 1
sold 1
some 1
starts 1
stuck 1
succeed 1
succeeding 1
supposed 1
tell 1
testing 1
than 1
the 21
their 1
them 1
then 1
they 4
this 1
thought 1
threatening 1
to 12
together 1
trainees 1
training 1
two 1
up 3
vegetarian 2
visits 1
was 1
watches 1
well 1
were 3
which 1
while 1
who 3
with 4
witnessing 1
working 1
year 2
zara 2
