1832044
/m/05_hwl
/m/05_hwl
Rebecca Gilman


a 5
able 1
about 1
abuses 1
accompanied 1
act 2
actions 1
afterwards 1
and 11
anonymous 1
are 2
arrest 1
audience 1
been 2
begins 1
being 1
bodies 2
but 1
by 1
calls 1
cared 1
characters 1
charming 1
clint 6
concludes 1
couple 3
deals 1
disposes 1
emotionally 1
few 1
first 1
focuses 1
for 3
friend 1
girls 2
guilt 1
has 5
have 2
her 6
home 1
i 1
ii 1
in 1
into 1
is 1
later 1
led 1
life 1
lisa 10
live 1
lived 1
living 1
location 1
lures 1
main 1
married 1
mature 1
meeting 1
mobile 1
motel 1
mother 4
motives 1
murders 1
next 1
not 1
of 3
on 3
opens 2
picks 1
plagued 1
play 1
plying 1
police 1
primarily 1
prostitute 1
punishments 1
rapes 1
room 1
rooms 1
scam 1
scene 1
see 1
series 1
she 1
shown 1
situation 1
that 2
the 14
their 1
them 1
time 1
tips 1
to 4
twins 1
unease 1
up 1
where 1
whereby 1
who 1
with 5
years 1
young 1
