25253895
/m/09gb34n
/m/09gb34n
Eoin Colfer
2010-07-20
a 14
about 1
accomplices 1
accusing 1
affected 1
again 2
ageing 1
all 1
alter 1
and 22
angeline 2
are 2
argon 1
artemis 11
atlantis 1
attacked 1
backup 1
barely 1
be 1
bear 1
bodyguard 1
brother 1
but 2
butler 4
by 6
calls 1
cancun 1
cant 1
captain 1
clinic 1
clouds 1
coincidentally 1
combination 1
commander 3
committing 1
communications 1
complex 1
compulsive 1
conclude 1
confirms 1
control 1
counts 1
craft 1
crash 1
crew 1
crimes 1
cube 1
danger 1
date 1
decides 1
deep 1
designed 1
despite 1
disease 2
disorder 1
does 1
down 1
during 1
eating 1
ego 1
engaged 1
entertainment 1
epilogue 1
escape 1
escapes 1
explode 1
explodes 1
fairy 2
famous 1
fans 1
fly 1
foaly 7
for 3
former 1
fowl 1
glacier 2
global 1
guard 1
has 3
having 1
he 3
hears 1
her 3
him 4
his 9
hits 1
holly 6
horde 1
human 1
ice 1
icebergs 1
iceland 1
in 7
including 1
instantly 1
insulate 1
into 3
invention 2
is 5
jade 1
juliet 3
julius 1
jumbo 1
kelp 1
kidnaps 1
kills 1
land 1
lands 1
last 1
leaving 1
leonor 3
lep 1
life 2
light 1
losing 1
magic 2
mandrakes 1
mars 1
match 1
meanwhile 1
meeting 1
mentally 1
mesmerised 1
mesmerising 1
mexico 1
middle 1
mind 1
much 1
mulch 1
mysterious 1
n1 2
nano 1
nicknamed 1
not 2
now 1
obsessive 1
ocd 2
ocean 1
of 6
on 5
one 1
only 1
or 1
orion 1
paranoia 1
paranoid 1
personality 1
pick 1
pixie 1
presentation 1
princess 1
promptly 1
psychological 1
rain 1
reaches 1
recent 1
reflect 1
reflective 1
remotely 1
reprobate 1
restores 1
reverse 1
rice 1
ride 1
rigged 1
root 2
saves 1
scans 2
search 1
self 1
several 1
she 3
shooting 1
short 1
shuttle 5
similar 1
sister 1
snaps 1
snow 1
spacecraft 1
split 1
steal 1
stop 1
stranded 1
suddenly 1
suns 1
symptoms 1
teasing 1
telling 2
that 7
the 20
them 1
then 2
therapy 1
they 3
thought 1
through 1
time 1
to 13
transport 1
travelling 1
tricked 1
tries 1
trouble 1
trying 1
turnball 5
ufo 1
unveils 1
up 1
upset 1
vatnajkull 1
very 1
vinyya 2
visit 1
wafers 1
want 1
wants 1
warming 1
was 1
weapons 1
when 2
who 1
wife 2
wine 1
wing 1
wishes 1
with 5
without 2
words 1
worried 1
wrestler 1
wrestling 2
young 1
zombielike 1
