31718848
/m/0gmh5kd
/m/0gmh5kd
Kelley Armstrong
2011-04-12
16 1
a 13
abandoned 1
abilities 1
ability 1
able 2
about 1
actually 1
add 1
adopted 1
after 4
all 3
also 2
altered 1
amazing 1
american 1
an 2
and 24
animal 1
animals 2
annie 6
any 1
are 3
artist 1
as 2
asks 1
at 4
attacked 1
aunt 1
away 1
baby 1
back 1
badboy 1
be 1
bears 1
beat 1
beats 1
because 4
been 1
before 2
being 3
between 1
biological 1
birth 2
birthday 1
birthmark 1
birthmarka 1
birthmarks 1
book 1
both 1
boyfriend 1
break 1
bring 1
brother 1
built 2
but 3
by 4
called 1
calling 1
can 1
cant 1
captain 1
carry 1
catches 1
celebrate 1
challenges 1
character 1
characters 1
childish 1
claim 1
cloud 1
clouds 1
communicate 1
competition 1
confirms 1
connection 1
contestants 1
control 1
conversation 1
corporation 1
cougar 2
creek 3
danger 1
daniel 5
dated 1
daughter 1
day 1
death 1
defeats 1
didnt 1
dinner 1
disappeared 1
distract 1
dna 1
does 1
doesnt 3
drowned 1
dumps 1
during 1
employees 1
enacted 1
ends 1
enhanced 1
escape 1
especially 1
even 2
events 1
experiment 3
explain 1
explains 3
extinct 1
eyes 1
fact 1
feelings 1
figure 1
fire 3
footholds 1
for 7
forest 3
form 2
friend 2
from 2
gathering 1
get 1
getting 1
going 4
group 1
guiltridden 1
guy 1
guys 1
had 1
has 1
have 5
he 6
heal 1
hearing 1
helicopter 1
her 17
herself 1
high 1
him 2
hip 1
his 4
house 2
housed 1
however 2
human 1
idea 1
if 2
in 12
including 1
indicate 1
individually 1
injured 1
insults 1
into 3
invites 1
is 11
island 1
it 4
just 1
kiss 2
knows 1
labs 1
lake 2
later 2
lay 1
learned 1
learns 1
lions 1
listen 1
location 1
looking 1
loses 1
low 1
main 1
make 1
makes 1
may 2
maya 20
medicalresearch 1
more 2
mother 1
mothers 1
mountain 1
native 1
navajo 1
new 2
nicole 1
night 2
not 1
noticeable 1
occur 1
of 9
off 1
officials 1
often 1
older 1
on 6
one 2
only 1
or 1
order 2
other 1
out 3
over 1
overheard 1
owners 1
paranormal 1
park 2
part 1
party 2
pawprint 2
pawshaped 1
people 5
points 1
prize 1
promising 1
prying 1
rafe 15
ranger 1
ready 1
realize 1
realizes 1
rehabilitating 1
report 1
rock 1
romantic 1
run 1
runs 1
safety 1
salmon 3
same 1
save 1
saying 1
says 2
school 1
secrets 1
see 1
sees 1
seleccted 1
sense 1
separated 1
serena 2
serenawho 1
set 1
setting 1
shape 1
she 20
shift 4
shifts 1
shows 1
sick 1
sister 1
skill 1
skinwalker 3
skinwalkers 5
small 1
someone 1
soon 1
special 2
st 2
start 3
steal 1
still 1
surrounding 1
sweet 1
swim 1
swimming 1
symptoms 2
tattoo 2
team 1
teens 1
tells 1
that 16
the 30
their 3
theit 1
them 3
then 1
there 1
these 1
they 8
thinking 1
thinks 1
this 4
though 2
through 1
tingling 1
to 19
town 4
traits 1
transform 1
truly 1
truth 1
twin 1
unconscious 1
unknown 1
until 1
up 1
vancouver 1
vision 1
wall 1
want 1
wants 2
was 8
water 1
way 1
well 1
were 2
what 2
when 5
which 1
while 1
whom 1
why 1
witch 1
with 5
without 1
worried 1
would 2
year 2
