32467136
/m/0h1czz8
/m/0h1czz8
Rex Pickett

a 6
advantage 1
after 2
along 1
an 1
and 4
assistedliving 1
at 1
be 1
been 1
caretaker 1
ceremonies 1
characters 1
continuing 1
country 1
dog 1
drive 1
ended 1
festival 1
filipina 1
forced 1
found 1
from 1
go 1
gone 1
has 4
he 2
her 2
his 2
home 1
in 5
international 1
into 1
invited 1
is 2
it 1
jack 2
joins 1
life 1
marriage 1
master 1
miles 2
mother 2
move 1
movie 1
noir 1
novel 2
of 3
on 1
opportunity 1
oregon 2
original 1
pinot 1
place 1
pots 1
put 1
road 2
set 1
seven 1
sideways 1
sister 1
story 1
stroke 1
success 1
takes 2
that 2
the 8
to 7
trip 2
turned 1
valley 1
was 1
wheelchair 1
who 2
willamette 1
wine 1
wisconsin 1
with 2
years 1
