17394784
/m/047dgwv
/m/047dgwv
Conn Iggulden
2008-01-02
{"/m/0hwxm": "Historical novel"}
a 10
across 1
addicted 1
adventures 1
after 2
against 3
all 1
alliance 2
almost 1
also 3
and 12
another 1
anxious 1
arduous 1
are 3
around 1
arrive 1
as 8
assemble 1
assorted 1
at 2
attempt 1
bay 1
be 3
becomes 2
begins 1
between 2
binding 1
black 1
blood 1
blue 1
book 4
borte 1
break 1
bride 1
brother 3
brothers 1
but 1
by 4
cannot 1
capitulates 1
captured 1
causes 1
ceremony 1
character 1
chin 2
city 4
close 1
come 1
complains 1
conquered 2
course 1
craft 1
criminal 1
crossed 1
crossing 1
cut 1
decides 1
defeated 1
defeating 1
defend 1
desert 2
determined 1
division 1
doubts 1
down 1
during 1
eldest 1
empire 1
end 1
entire 2
estrangement 2
even 1
eventually 1
everyone 1
except 1
exchange 1
facing 1
family 1
fate 1
featured 1
finally 1
find 1
first 1
five 1
flare 1
following 2
for 6
forced 2
fraternity 1
from 2
gains 1
gathered 1
genghis 16
ghengis 1
gobi 1
greatly 1
has 1
hasar 1
have 1
having 1
he 11
held 1
help 1
helped 1
helps 1
highlighted 2
him 1
his 11
honour 2
hordes 1
impatient 1
in 10
incident 1
inexperience 1
intervene 1
introduced 1
is 13
it 1
jochi 1
khan 6
khasar 1
killing 1
kingdom 4
kneel 1
knees 1
kokchu 2
last 1
later 1
lead 1
leader 2
legitimacy 1
lesser 1
lessons 1
libraries 1
made 1
many 1
march 2
masons 1
military 1
mongol 5
mongols 2
more 1
mountain 1
name 1
nation 4
negotiates 1
new 2
note 1
oaths 1
of 22
off 1
officer 1
on 3
one 2
opium 1
orders 1
other 1
out 1
over 1
pastures 1
people 1
place 1
point 1
presided 1
price 1
princess 1
privately 1
promise 1
promises 1
protagonist 1
provides 1
public 1
read 1
receive 1
return 1
rewarded 1
river 1
rule 1
satisfied 1
scene 1
second 1
sees 1
selfserving 1
shaman 5
show 1
shows 2
siege 1
situation 1
smells 1
so 1
soldiers 1
son 1
sons 1
sort 1
southwards 1
spoils 1
stand 1
starts 1
strife 1
stuck 1
submits 1
summer 3
support 2
sword 1
take 3
taken 1
takes 1
taught 1
teach 1
tempers 1
temuge 6
tension 1
than 1
that 6
the 60
their 3
them 3
then 1
there 1
they 4
thighs 1
this 7
thousand 1
tie 1
time 1
to 25
tong 1
tribes 3
tries 2
trip 1
trust 1
tsubodai 1
uighars 2
uighur 1
uighurs 1
under 2
unites 1
up 2
uses 1
very 1
wait 1
waiting 1
walls 2
war 1
was 1
ways 1
well 2
when 2
where 1
which 2
while 1
who 5
wife 2
will 4
wins 1
wishes 1
with 2
within 1
write 1
xi 4
xia 7
yellow 1
young 1
