8688036
/m/027d_zf
/m/027d_zf
Madeleine L'Engle
1976-04-01
{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
a 14
aboard 1
accepts 1
accident 1
after 1
afterward 1
alejandro 1
all 1
already 1
also 3
among 1
an 2
ancestor 2
and 16
another 1
are 2
arrests 1
arrival 2
arrives 1
as 2
at 2
attack 1
attacks 1
aunt 2
away 1
be 1
becomes 1
been 1
before 1
behind 2
belatedly 1
believe 1
between 1
blackmail 1
blood 1
boar 1
bolivar 2
boon 1
both 2
brought 1
buildings 1
but 6
by 3
calls 1
canon 1
caracas 1
caring 2
cause 1
charles 1
check 1
chief 1
christ 1
clear 1
come 1
confesses 1
connection 1
continue 1
cousin 2
current 1
danger 2
dangerous 1
de 1
decides 1
degrees 1
does 2
donate 1
dragonlake 3
dragons 2
dutch 1
dying 2
feels 1
fellow 1
fight 1
first 1
for 3
forebear 1
forklift 1
forsyth 4
fought 1
freighter 1
friend 1
from 2
generationsold 1
godfather 1
good 1
grudge 1
guilty 1
hail 1
has 1
have 1
having 1
healers 1
heirloom 1
help 1
heroic 1
his 1
hurtado 1
in 7
indians 1
infected 1
initial 1
initially 1
injury 1
interactions 1
investigate 1
invitation 1
involving 1
is 9
it 3
jan 1
journals 1
jungle 1
just 1
kidnapped 1
know 1
large 1
lead 1
learned 1
learning 1
left 2
leg 1
leonis 5
letters 1
local 1
longawaited 1
lyolf 1
mate 1
may 1
mdash 1
medical 1
miss 3
mists 1
money 1
mr 1
murder 3
murdered 1
museum 1
ninety 1
not 2
odd 1
of 12
off 1
okeefe 1
old 1
orders 1
orion 1
painting 1
panicked 1
part 1
passenger 1
passengers 1
paying 1
phair 8
places 2
police 1
poly 3
port 1
portrait 4
predicament 1
proposes 1
purchased 1
quentin 3
quiztano 3
quiztanos 3
raise 1
read 1
receives 1
recently 1
reginero 1
relic 1
rescued 1
resistance 1
return 1
run 1
sailor 1
seems 1
seen 1
she 1
ship 1
sick 1
side 1
simon 17
smuggling 1
so 1
sold 1
some 2
son 1
soon 1
source 1
started 2
stay 1
still 1
stolen 1
stranded 1
support 1
tallis 6
tangled 1
that 5
the 24
them 1
theo 1
there 1
think 1
thus 1
to 14
travel 1
two 1
umara 1
underlying 1
upon 1
valuable 1
venezuela 3
was 2
web 1
what 1
when 2
which 2
who 2
wife 1
wild 1
wildcat 1
with 4
work 1
worthless 1
years 1
