371532
/m/020hhl
/m/020hhl
Isaac Asimov
1993-01
a 1
accelerates 1
adopted 1
after 3
all 1
alone 1
amaryl 1
an 1
and 4
application 1
are 2
as 4
asimov 1
assassin 1
assassinated 1
at 1
be 1
becomes 1
beginning 1
begins 2
begun 1
brings 1
brought 1
but 1
by 1
chapters 1
chronicles 1
cleon 2
close 1
come 1
concept 1
continues 1
daneel 1
daughterinlaw 1
decline 2
demerzel 1
depicts 1
developed 1
dies 1
disappearance 1
does 1
dors 1
during 2
early 1
eight 1
emperor 3
empire 1
eto 1
events 2
eventually 1
except 1
finally 1
first 4
for 2
forward 1
found 1
foundation 4
from 2
galactic 3
gradually 1
grand 1
granddaughter 2
hari 1
he 2
health 1
height 1
her 1
him 3
his 7
how 1
hypothetical 1
i 1
imperial 1
in 5
initiates 1
into 1
is 4
isaac 1
it 1
killed 2
known 1
knows 1
later 2
latter 1
life 2
loses 2
mankind 1
map 1
minister 3
missing 1
mysterious 1
never 1
of 12
off 1
olivaw 1
on 2
physical 1
place 1
plan 2
politics 1
position 1
postimperial 1
power 1
practical 1
prelude 2
previous 1
psychohistory 2
r 1
raych 1
rebellion 1
reign 1
road 1
same 1
santanni 1
saving 1
second 2
secrets 1
seldon 11
sends 1
son 1
start 1
story 1
strain 1
survival 1
takes 2
ten 1
that 1
the 23
theory 1
those 1
time 1
to 9
trantor 1
unravel 1
wanda 1
who 1
whom 1
wife 1
will 1
work 2
world 1
years 3
yugo 1
