4242947
/m/0brx7c
/m/0brx7c
Yasmina Reza

a 5
afraid 1
and 5
as 1
author 2
bag 1
both 1
bring 1
by 1
calls 1
carries 1
compartment 2
conversationally 1
detached 1
dilemma 1
each 1
ending 1
envisioned 1
events 1
famous 1
finally 1
find 1
frankfurt 1
from 1
front 1
he 2
her 1
him 1
his 2
how 1
if 1
in 7
intimacy 1
is 1
it 1
journey 1
last 1
latest 1
like 1
line 1
man 2
monologues 1
name 1
novel 1
of 5
on 1
one 1
opposite 1
other 1
out 1
paris 1
past 1
philosophies 1
play 1
ponder 1
ponders 1
reading 1
separate 1
she 3
show 1
sit 1
situation 1
so 1
speak 1
the 11
their 1
they 2
thing 1
to 2
train 1
up 1
was 2
woman 3
world 1
