1133955
/m/0495kx
/m/0495kx
Joyce Cary
1944
a 7
about 1
academy 2
acceptance 1
although 1
an 2
and 10
any 1
art 1
artist 1
as 5
aside 1
at 2
based 1
be 1
become 1
been 1
being 1
book 1
but 1
buy 1
by 1
cadging 1
can 1
cary 1
clear 1
collectors 1
consideration 1
creative 1
deal 1
decision 1
destructive 1
down 1
drives 1
early 1
ecstasy 1
either 1
end 2
enough 1
exwife 1
falls 1
family 1
fatal 1
father 1
fits 1
follows 1
for 1
forced 1
from 5
give 1
given 1
great 1
ground 1
has 6
he 9
heartbroken 1
her 2
hickson 1
him 1
himself 3
his 9
home 1
hospital 1
impressionism 1
in 4
injury 1
instead 1
is 9
it 1
jail 1
jimson 8
just 1
known 2
last 1
later 1
laughing 1
life 2
live 1
longer 1
made 1
missed 1
monday 1
money 2
mother 1
much 1
next 1
no 1
nothing 1
novel 3
nun 1
nursing 1
obtain 1
of 5
on 2
one 1
only 1
opens 1
or 2
order 1
over 1
paint 1
painting 1
paintings 1
paints 2
paralysing 1
passion 1
patron 1
person 1
petty 1
picture 1
popular 1
possibilities 1
praying 1
public 1
pursue 1
put 1
real 1
recognizes 1
reflects 1
regrets 1
released 1
reluctant 1
remarks 1
reminder 1
replies 1
sacrifice 1
same 1
sara 3
scam 1
seeking 1
seeks 1
sees 1
serve 1
serves 1
should 1
someone 1
sometime 1
spends 1
stroke 1
struggle 1
style 1
such 1
suffered 1
suffers 1
supplies 1
surfaces 1
taken 1
taste 1
that 6
the 10
theft 1
thing 1
those 1
to 12
tracks 1
tries 1
unsentimental 1
up 1
valuable 1
walls 1
was 1
when 2
which 1
who 3
words 1
work 2
worth 1
yet 1
youth 1
