10590353
/m/02qjmvc
/m/02qjmvc
Martin Booth
1997
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel"}
141 1
25 1
a 6
ah 3
also 1
an 2
and 10
army 3
armys 1
as 6
at 2
back 1
badly 1
bamboo 1
because 1
been 1
begins 1
blow 1
both 1
boy 2
breaking 1
bridge 1
but 1
by 1
camp 1
camps 3
chaos 1
china 1
chinese 3
clutches 1
column 1
come 1
comes 1
communist 1
continues 1
contracted 1
cure 1
damaged 1
dangerous 2
december 1
defeat 1
deliver 1
disappeared 1
disguise 1
do 1
does 2
during 1
east 1
elevenyear 1
end 1
entering 1
escape 1
escapes 1
events 1
everything 1
exhausted 2
expected 1
explosives 1
family 2
fever 1
fighters 1
finally 1
finds 1
first 1
for 1
forces 1
four 1
gardener 1
get 1
given 1
had 1
happen 1
has 1
have 2
he 11
heavy 1
help 1
helps 1
her 1
here 1
himself 1
his 7
holford 1
home 6
hong 3
house 1
in 1
instructions 1
into 1
introduces 1
is 9
island 2
it 2
items 1
itself 1
japanese 3
job 1
joins 1
journey 1
knows 1
kong 3
kowloon 4
kwan 1
last 1
longer 1
loyal 1
makes 1
malaria 1
many 1
medicine 2
mee 2
ming 2
mission 1
more 1
most 1
mother 2
much 1
music 1
name 1
narrowly 1
nearly 1
news 1
nicholas 11
nicknamed 1
no 1
not 1
occupying 1
of 10
old 1
older 1
on 4
or 1
out 1
parents 1
partiasn 1
partisan 1
pass 1
passes 1
person 1
playing 1
position 1
pow 1
prison 2
prisoners 1
quinine 1
radio 1
railway 1
reaches 1
reaching 1
recognise 1
remembers 1
returned 1
returns 1
river 1
ruined 1
safe 1
safety 1
search 1
seems 1
sek 2
servants 1
she 1
shore 1
since 1
story 1
suddenly 1
supposed 1
take 1
taking 1
tang 5
than 1
that 1
the 31
then 1
they 2
this 1
three 1
through 1
time 1
to 15
translate 1
trip 1
up 1
upon 1
using 1
village 3
walks 1
wan 2
war 4
was 2
weaken 1
when 1
where 1
who 1
whose 1
wife 1
wing 2
with 3
worried 1
would 1
years 2
yet 1
