45232
/m/0c9gq
/m/0c9gq
Richard Bach
1970
{"/m/012lzc": "Self-help", "/m/070wm": "Spirituality", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0l67h": "Novella"}
a 14
abilities 1
ability 2
about 1
accepted 1
aerial 1
after 1
against 1
all 4
almost 1
alone 1
already 1
an 4
and 22
any 1
anywhere 1
are 4
around 1
arrived 1
as 5
asks 1
at 1
back 1
backs 1
be 6
because 2
becomes 1
becoming 2
been 2
before 1
befriends 1
begin 1
behind 1
believing 1
better 1
between 1
beyond 1
bind 1
bird 1
book 3
bored 1
breakfast 2
bring 1
but 2
by 6
can 5
cannot 1
capable 1
casting 1
challenges 1
chiang 2
coercive 1
commonly 1
condition 1
conflict 1
conform 1
conforming 1
conformity 2
continues 2
contrast 1
current 1
daily 1
daring 1
day 2
described 2
deserved 1
desire 1
deterred 1
difference 1
difficult 1
diligent 1
discovered 1
discovers 1
do 1
each 1
earth 1
efforts 1
else 1
emerges 1
enjoy 1
equally 1
eventually 2
everything 1
exhilarating 1
exiling 1
existence 1
experience 1
experienced 1
experiments 1
explain 1
expulsion 1
feats 1
fight 1
finally 1
find 1
finding 1
finds 1
first 3
fletcher 2
flight 4
flock 5
flocks 1
fly 3
flying 2
food 1
for 6
force 1
forgive 3
forgiveness 1
former 1
found 1
free 1
freedom 3
friends 1
from 2
frustrated 1
further 1
gathering 1
getting 1
go 1
goals 1
god 2
got 1
great 2
gull 2
gulls 3
hard 2
has 2
have 4
he 14
heaven 1
help 1
hence 1
here 1
higher 4
highly 1
him 13
himself 1
his 19
how 1
human 2
idea 2
ideals 1
idyllic 1
image 1
immense 1
importance 1
important 1
in 9
increasingly 1
instantaneously 1
into 4
is 11
jonathan 12
just 2
keep 1
keeping 1
kinds 1
know 1
knowing 1
knowledge 1
lack 1
last 1
leads 2
leadsfor 1
learn 3
learned 1
learning 4
leastthrough 1
leaves 1
leaving 1
levels 1
life 4
like 1
limitation 1
limited 1
linking 1
livingston 2
long 1
love 4
loving 1
lynd 2
make 1
mandatory 1
materialism 1
may 1
meaningless 1
meets 1
met 2
mission 1
more 2
move 1
much 2
new 2
newly 1
no 2
not 4
nothing 1
now 2
obey 1
of 20
often 1
on 2
one 3
oneinamillion 1
only 1
other 3
others 2
out 1
outcast 1
outlawed 1
over 1
own 1
part 3
passing 1
passion 2
perfection 1
place 1
plane 1
pleased 1
practising 1
pressure 1
pretty 1
previous 1
process 1
progress 1
pushes 1
radiant 1
raised 1
reach 2
ready 1
real 1
realizes 1
really 1
recent 1
regardless 1
rejected 1
relation 1
respect 2
results 1
returns 2
right 1
rules 2
sacred 1
satisfied 1
says 1
seagull 7
seagulls 1
secret 1
seem 1
seems 2
seized 2
self 1
share 1
sharing 1
sheer 1
so 1
soars 1
society 4
something 1
soul 1
spirit 1
spread 1
squabbles 1
stand 1
story 1
stronger 1
student 3
students 1
successful 2
suggesting 1
take 1
takes 1
talks 1
teach 2
teacher 4
teaching 1
teachings 1
tells 1
tenacity 1
that 16
the 40
their 2
them 4
then 1
there 2
they 3
third 1
this 6
through 3
time 1
to 33
together 2
totally 1
transcends 1
tremendous 1
triumphant 1
true 3
turn 1
two 2
ultimately 1
understand 1
understands 1
universe 1
unlimited 1
until 1
unwillingness 1
very 1
want 1
was 1
way 2
weaker 1
well 1
where 2
who 6
will 1
wisest 1
with 7
without 1
words 1
work 1
working 2
world 1
you 5
young 1
your 2
yourself 2
youve 1
