2881655
/m/088vgy
/m/088vgy
Stephen Kinzer
2003-07-18
133 1
141 1
150 1
150s 1
153 1
17 1
20 1
a 6
abdicate 1
administration 1
after 3
against 2
agreed 1
agreement 1
allied 1
ally 1
an 1
and 7
angloiranian 1
anglopersian 1
annoying 1
apoc 1
arranged 1
arrest 1
arrogant 1
as 4
assets 1
at 2
attempt 1
attempted 1
attempting 1
axis 1
be 1
became 1
been 3
being 1
belgium 1
below 1
blockading 1
bloody 1
book 3
bp 1
britain 3
british 6
broker 1
by 7
called 1
case 2
chief 2
churchill 1
cia 2
cold 1
communism 1
communist 1
companies 1
company 2
concerned 1
concessions 1
conclusion 2
contract 1
country 1
coup 4
court 2
critic 1
d 1
david 1
deal 1
democratically 1
developed 2
does 1
driven 1
dwight 1
earlier 1
early 1
economy 1
efforts 1
eisenhower 1
elected 1
elegant 1
end 1
essay 1
estate 1
extraction 1
fact 1
favour 1
fear 1
feature 1
first 1
followed 1
following 1
for 1
forced 1
forward 1
friendly 1
from 2
government 4
granted 1
great 2
gulf 1
had 2
halting 1
having 1
help 1
his 5
honest 1
hormuz 1
house 1
however 1
ii 1
immoral 1
in 14
international 1
invasion 1
iran 10
iranian 3
is 2
islamic 1
issue 2
it 3
its 1
kinzer 1
later 1
leftists 1
life 1
link 1
local 1
lost 1
majority 1
mi6 1
minister 3
mohammad 2
monarch 1
more 1
mossadegh 2
motivated 1
narrative 1
neutral 1
new 1
not 1
notion 1
of 16
officially 1
oil 7
on 1
or 2
originally 1
overthrown 1
parliament 1
part 1
persian 1
petroleum 2
planned 1
policy 1
portrayal 1
portrays 1
power 2
prime 3
prowestern 1
prycejones 1
put 1
reacted 1
reason 1
regarding 1
remained 1
renamed 1
republic 1
rest 1
restore 1
revolution 1
reza 3
rights 1
rule 1
running 1
seeking 1
seize 1
selling 1
shah 6
signed 1
significantly 1
son 1
soviet 1
spent 1
spread 1
start 1
stated 1
staunch 1
still 1
stop 1
strait 1
strong 1
successfully 1
summer 1
superpower 1
sympathized 1
tacit 1
takeover 1
takes 1
tehran 1
than 1
that 4
the 51
then 1
there 1
they 1
this 2
though 1
thuggish 1
to 8
today 1
took 1
towards 2
trade 1
under 1
union 1
upheld 1
us 3
variously 1
very 1
view 1
violating 1
war 2
was 10
were 1
west 1
when 1
which 2
who 2
with 5
world 1
years 1
