44077
/m/0c0ny
/m/0c0ny
Rudyard Kipling
1897
a 4
accepts 1
adjust 1
adventures 1
an 1
and 7
are 1
as 2
at 1
banks 1
become 1
begin 1
boston 1
by 3
california 1
cannot 1
captain 3
car 1
career 1
cheyne 2
choice 1
clipper 1
commercial 1
considerate 1
convince 1
crew 1
crosscountry 1
dan 2
decides 1
delighted 1
diego 1
disko 1
even 1
eventually 1
father 2
find 1
fishermen 1
fishing 1
fleet 1
friend 1
from 2
given 1
gloucester 1
go 1
grand 1
harvey 7
has 1
he 2
help 1
her 1
here 1
him 2
hiring 1
his 10
improves 1
in 1
industrious 1
initially 1
is 2
job 1
learns 1
life 1
lines 1
magnate 1
makes 1
man 1
massachusetts 1
matured 1
maturity 1
mother 1
new 2
newfoundland 1
no 1
nor 1
of 8
off 1
offers 1
on 1
other 1
over 1
overboard 1
overindulgent 1
parents 2
part 1
persuade 1
port 3
prestigious 1
priority 1
private 1
progress 1
quickly 1
rail 1
railroad 1
relationship 1
rescued 2
return 1
returns 1
rewards 2
rough 1
rush 1
san 1
schooner 1
seaman 1
series 1
serious 1
shipping 1
son 6
steamship 1
take 1
tea 1
that 1
the 11
their 3
them 2
there 1
they 3
through 1
to 12
town 1
traffic 1
transatlantic 1
trials 1
troop 3
until 1
washed 1
wealth 1
wealthy 1
were 1
who 2
wife 1
wires 1
with 3
work 1
young 2
youth 1
