3733081
/m/09xz1z
/m/09xz1z
Dave Barry
1999-09
a 23
about 5
accidentally 1
actually 2
after 7
aftermath 1
against 1
agents 3
agree 1
airplane 3
airport 5
all 2
also 1
an 3
and 45
andrew 2
anna 3
any 1
are 2
arms 1
around 2
arrested 1
arrive 2
arther 1
arthur 12
as 6
at 9
attach 1
attack 1
attempt 1
attempting 1
attracted 2
away 1
back 1
bahamas 1
baker 2
bar 4
because 1
becomes 2
being 4
big 1
board 2
boarded 1
bomb 8
both 1
boy 1
bring 1
but 3
buy 1
by 10
call 2
called 2
came 1
cant 1
carrying 1
cast 1
caught 1
causes 1
causing 1
characters 1
check 1
come 2
comes 1
company 2
completely 1
confiscating 1
consists 1
cords 1
cover 1
criminals 3
dealers 1
debts 1
decide 1
decides 1
dejede 1
demanding 1
denies 1
describing 1
different 1
dismiss 1
disorderly 1
divorced 1
dog 1
dole 1
down 1
during 1
eddie 4
eliot 4
elizabeth 1
embezzling 1
ends 1
enemies 1
enter 2
escape 1
escaped 1
escapes 1
everyone 2
except 1
experiencing 1
explodes 1
extremity 1
face 1
fall 2
father 1
fbi 2
fed 1
fighter 1
final 1
find 4
fire 1
fish 1
follows 1
foot 1
for 9
force 1
four 1
free 1
friend 1
frightened 1
from 6
gambling 1
game 1
get 1
gets 1
girl 1
go 1
goes 1
got 1
grill 1
group 1
groups 1
grudge 1
guilty 1
gun 4
hallucinogen 1
handcuffs 2
happens 1
has 1
he 8
head 3
held 2
help 1
her 4
high 1
him 7
himself 1
his 5
hit 1
hitman 1
hitmen 4
homeless 1
house 8
housemaid 1
however 1
immigrant 1
in 9
incident 1
innocent 1
instantly 2
instead 1
into 1
investigated 1
involved 1
is 13
it 2
jenny 16
job 1
jumps 1
just 3
kicked 1
kidnapped 1
kill 1
killed 1
killer 1
killing 1
kingpin 2
know 1
large 2
last 2
later 1
leads 1
leave 4
leaving 1
lessthanhonest 1
life 1
lifted 1
line 1
lives 2
living 1
local 1
lose 1
love 1
main 1
mall 2
man 3
manage 1
matt 16
mean 1
meanwhile 2
meet 1
menge 1
metal 1
mexican 1
miami 1
minute 2
missing 1
mistake 1
money 1
monica 6
mother 1
must 1
named 4
nearby 2
nearly 1
night 1
nina 3
no 1
not 1
of 12
off 2
officer 1
officers 2
on 5
one 5
only 1
onto 2
opens 1
or 1
order 1
ordering 1
other 1
out 3
over 2
overboard 1
own 1
panics 1
partner 1
pay 1
people 2
pet 1
place 1
plane 2
planes 1
police 5
policewannabe 1
population 1
possessed 1
property 1
puggy 6
pushed 1
python 1
question 2
rack 1
reach 1
real 1
realizing 1
rescued 1
rescues 1
rger 1
runs 2
russian 1
russians 2
same 2
save 2
school 2
security 2
seriously 1
she 1
shoot 1
shooting 3
shot 1
shoulder 1
showed 1
snake 7
sneak 1
so 1
squirt 2
squirted 1
stealing 1
stepfather 1
story 2
suffocated 1
suitcase 2
superior 1
surprise 1
take 2
takes 1
taking 1
talk 1
telephone 1
tell 2
that 6
the 66
their 1
them 5
they 10
think 1
thinks 1
this 2
through 1
tie 2
time 1
to 37
toad 1
tosses 1
towards 1
tree 1
trouble 1
trying 1
turn 2
turned 1
turns 1
two 10
unties 1
unwilling 1
up 5
use 1
using 1
walter 6
wants 1
was 3
water 2
well 2
were 1
what 1
when 1
where 2
whether 1
which 3
while 1
who 9
will 1
with 7
witness 2
works 1
young 2
