8585019
/m/0278xy3
/m/0278xy3
Steven Brust

{"/m/01hmnh": "Fantasy"}
a 22
accompany 1
achieve 1
adrilankha 2
adron 1
advises 1
aerich 1
after 3
agent 1
also 1
among 1
an 1
and 25
another 1
arra 1
arrives 1
as 4
at 1
attack 1
authority 1
away 2
back 1
band 2
bandit 2
banditry 1
bandits 3
be 1
become 2
been 2
believing 1
birthright 1
bitterly 1
blackchapel 2
bold 1
border 1
both 1
bright 1
brings 1
broken 1
build 1
but 1
by 3
certain 1
chief 2
city 1
cliffs 2
coachman 1
commands 1
companions 1
company 3
conquered 1
consumed 1
contacts 1
convene 1
conversation 1
convinces 1
counsels 1
count 1
county 1
cousin 1
dark 1
daughter 1
dead 3
debate 1
decide 1
decides 2
demon 2
desire 1
determined 1
dinner 1
disaster 1
discovers 1
do 1
does 1
down 1
dragaera 2
dragaeran 1
dragon 1
drives 2
dubious 1
during 2
dzur 2
eastern 1
elder 1
emerges 1
emperor 2
empire 6
empress 2
encounters 1
enters 1
events 1
expresses 1
failure 2
fellow 1
female 1
fight 1
find 1
five 1
for 3
fourth 1
friend 1
friends 1
from 5
fullest 1
function 1
funk 1
generally 1
get 1
give 1
goddess 1
gods 2
goes 1
good 1
greycat 1
grita 2
guilt 1
habil 1
hardfought 1
has 7
have 1
he 10
help 3
her 6
herself 1
him 3
himself 2
his 12
holds 1
home 1
house 1
houseguests 1
houses 1
how 1
hundred 2
ibronka 1
imperial 1
improve 1
in 5
include 1
influence 1
informs 1
inspect 1
interregnum 1
interrupted 1
into 2
is 10
issola 1
it 2
jenoine 1
journey 1
judgment 2
keep 1
khaavren 5
killed 1
kna 2
lady 1
land 1
lands 1
largely 1
last 1
later 1
lavode 3
learns 1
lords 2
loyal 1
make 1
man 2
matured 1
meaning 1
meanwhile 1
meets 2
miska 2
modify 1
morrolan 5
mountain 2
must 3
mysterious 2
name 2
named 2
navigates 1
neighboring 1
new 1
noble 1
note 1
of 19
off 1
old 1
on 3
one 2
opposition 1
or 1
orb 3
orlaan 3
other 1
out 2
over 2
party 1
past 1
paths 4
pel 3
petty 1
phoenix 1
piro 4
plague 2
plan 1
pledge 1
possession 1
potential 1
prevent 1
princes 1
proposal 1
protect 1
pyrologist 2
quarter 2
quest 2
raana 1
ravages 1
reaches 1
really 1
receive 1
receives 1
reception 1
recognizes 1
recover 1
reign 1
relates 1
restore 1
restored 2
return 1
returning 1
revenge 1
roughly 1
ruined 1
sack 1
safely 1
scheme 1
send 2
sethra 4
sets 2
shape 1
she 4
shortly 1
signs 1
sixteen 1
snap 1
so 1
some 1
son 2
sorceress 1
sorcery 2
sorry 1
soul 1
speak 1
star 1
start 1
state 1
stop 1
strange 1
strategist 1
studying 1
summon 1
summoned 2
summons 1
superior 1
sway 1
take 1
task 1
tazendra 3
teldra 1
temple 1
territory 1
that 5
the 52
their 3
them 1
then 1
thereafter 1
they 5
three 1
throws 1
to 26
together 2
total 1
town 2
trance 1
true 1
two 1
under 2
uneventful 1
untouched 1
vengeance 1
verra 2
village 1
viscount 1
vows 1
warlord 1
warlords 1
was 1
way 1
weighed 1
what 1
when 1
which 1
while 3
whitecrest 1
who 5
wife 1
will 1
witch 3
witches 1
with 10
without 1
world 1
years 2
young 3
zerika 6
zivra 2
