22832822
/m/063_m7r
/m/063_m7r
Rosemary Sutcliff
1953
{"/m/0hwxm": "Historical novel"}
164 1
1642 1
200 2
a 15
above 1
accident 1
act 1
action 1
actions 1
after 5
again 2
age 1
alive 1
all 1
almost 1
although 1
always 1
amias 10
an 1
and 19
anne 1
announces 1
another 1
approve 1
april 1
are 4
area 2
army 3
arrested 1
as 6
at 5
barnaby 1
battle 3
be 2
because 3
begins 1
being 2
believe 1
best 1
between 1
biblical 1
blast 1
blew 1
blows 1
both 1
break 1
brings 1
but 2
butt 1
by 6
called 1
calls 2
capture 1
carey 2
chaplain 1
children 1
chooses 1
christened 1
church 4
civil 1
cleared 1
colbourne 2
colebourne 1
colonel 1
commissioned 1
commonwealth 1
comparing 1
control 1
cornet 3
corporal 4
coveted 1
daughter 1
david 1
day 2
decision 1
decisive 1
defeated 1
describes 1
deserts 1
devon 1
devout 1
disagreed 1
disliked 1
doctor 2
does 1
down 2
dying 1
education 1
ends 1
english 1
enquiry 1
escapes 1
eve 1
execute 1
exeter 1
explosion 2
fairfax 4
fall 1
falling 1
falls 3
families 1
family 1
farm 1
fast 1
father 3
few 1
fight 1
fighting 1
finds 2
finish 1
finishing 1
first 2
followed 1
following 1
for 4
forgives 1
former 1
formidable 1
fortunate 1
four 1
friend 2
friends 1
friendship 1
from 5
front 1
further 1
general 4
getting 1
ghost 1
go 1
gobetween 1
goes 2
great 1
hannaford 2
harshest 1
has 4
having 1
he 20
head 1
heads 1
hears 1
held 1
her 1
hiding 1
him 7
himself 1
his 17
home 1
horse 2
horses 1
house 4
huge 1
ie 1
in 13
injury 1
introduction 1
ireton 1
ironside 1
is 21
ishmael 2
it 2
john 1
join 1
jonathan 1
joshua 1
killed 1
killigrew 2
king 3
knocked 1
knowledge 1
lady 1
later 2
lead 1
leads 1
learned 1
led 1
lieutenant 1
look 1
lovacott 3
love 1
man 3
manages 1
marjory 1
marry 1
meets 1
messages 1
mistress 1
model 1
money 1
months 1
mouse 2
musket 1
mystery 1
naseby 1
near 2
neighbour 1
new 1
not 2
nottingham 1
now 1
of 16
off 1
okeham 1
on 1
one 5
ordered 2
orders 1
otherwise 1
out 2
outside 1
over 1
paine 1
parliament 6
party 1
past 2
phrase 1
pioneer 1
podbury 2
position 1
powder 1
prisoners 1
protected 1
pursued 1
put 1
quite 2
raised 1
realises 1
reappears 1
recaptured 1
recognizes 1
recommends 1
recovery 1
redheaded 1
refuses 1
regiment 1
rejoins 1
relf 4
rescue 1
rescued 1
reshoed 1
resigned 1
respectively 1
retreating 1
rider 2
right 1
royalist 3
royalists 4
run 1
safety 1
said 1
same 1
scarlet 1
school 2
schoolwork 1
search 1
seems 1
sees 1
sentenced 1
set 1
simon 18
since 1
sister 2
smith 1
solved 1
son 1
spies 1
sprigg 1
spy 1
standard 1
still 1
stolen 1
stop 1
store 1
story 2
stronghold 1
subordinates 2
support 1
susanna 2
suspicion 1
tells 1
tended 1
that 5
the 50
their 1
them 1
then 1
there 1
they 3
this 2
thomas 1
those 1
through 2
time 1
to 24
toast 1
took 1
torrington 3
tower 1
town 2
troop 1
troops 1
turns 2
unaware 1
unconscious 1
under 2
units 1
up 2
upon 1
upside 1
used 2
wainwright 1
war 1
was 1
wasnt 1
watts 2
west 1
when 5
which 1
while 2
who 6
whom 3
windsor 1
with 6
years 1
young 1
zactly 1
zealforthelord 1
