14773258
/m/03gxjgm
/m/03gxjgm
Mercedes Lackey
1005
a 8
abilities 2
able 3
about 1
abroad 1
acquire 2
acting 1
aids 1
alderscroft 4
aligned 1
all 1
also 1
amounts 1
an 6
and 13
animal 1
any 1
appearance 1
are 3
as 8
at 1
attacks 1
avatar 1
avatars 1
based 1
be 1
become 1
becoming 1
beginning 1
begins 2
belief 1
better 1
body 1
book 2
books 1
both 1
break 1
by 3
can 1
chance 1
children 3
circle 1
clubmagic 1
company 1
concept 1
confronted 1
connected 1
convinced 1
cordelia 4
cordelias 1
countryside 1
create 1
danger 4
david 8
davids 1
degrees 1
described 1
details 1
develop 1
distance 1
do 1
doing 1
down 1
due 2
during 1
elemental 8
empire 1
encounter 2
ends 1
england 2
enraged 1
equal 1
exeter 1
failure 1
familiar 1
for 3
forced 1
frederick 1
friends 1
from 2
full 1
gain 1
gaps 1
goal 2
harton 1
hartons 2
has 4
have 2
he 2
head 1
help 1
her 6
herself 1
him 2
himself 2
his 5
historical 1
hold 1
household 1
ice 3
icy 1
imagery 1
impending 1
in 9
indian 1
intelligent 1
into 1
introduces 1
is 9
isabelle 4
isolating 1
jane 1
killian 1
lady 1
leader 2
leads 1
life 1
light 1
likened 1
link 1
live 1
looking 1
lord 2
lured 1
lyonwhite 1
magical 1
magician 2
magicians 1
manifest 1
masters 2
mastery 1
medium 1
mentor 1
more 1
most 1
mythological 1
nan 3
new 1
novel 3
of 13
on 3
only 1
or 1
others 1
parents 1
past 2
patron 1
peers 1
people 2
place 1
plans 1
power 3
powerful 3
powers 2
prequel 1
present 1
protect 1
psychic 3
puck 2
punishment 1
realise 1
reconnect 1
reluctant 1
repair 1
result 1
right 1
rise 1
role 1
romantic 1
run 1
sarah 4
school 3
secure 2
series 1
servants 1
set 1
shares 1
she 3
should 1
show 1
signs 1
small 1
so 1
society 1
some 2
spring 1
standing 1
starting 1
students 1
take 3
takes 1
talent 1
talented 3
talents 2
teaches 1
that 4
the 28
their 3
them 3
they 1
this 3
to 22
training 1
trap 2
two 1
unusual 1
up 1
varying 1
very 2
warns 1
warrior 1
well 1
when 1
which 1
while 1
who 1
whose 1
will 2
with 7
within 1
wizardry 1
world 1
