66346
/m/0hjxw
/m/0hjxw
John Brunner
1972
{"/m/06n90": "Science Fiction"}
a 3
about 1
addiction 1
additional 1
agent 1
air 1
alien 1
all 1
an 2
and 2
aspect 1
assemble 1
be 1
begin 1
believed 1
but 1
cases 1
communes 1
disappearing 1
equipment 2
expensive 1
fad 2
fanaticism 1
gains 1
harmless 1
hobby 1
improved 1
in 3
increasing 1
increasingly 1
into 1
investigating 1
is 2
listen 1
money 1
nations 1
new 1
of 3
on 1
or 1
paranormal 1
physicsviolating 1
profile 1
reins 1
resembling 1
risk 1
semisocial 1
signals 1
some 1
sounds 1
spend 1
stardroppers 1
stardropping 2
superficially 1
the 2
their 1
thin 1
to 3
undercover 1
united 1
used 1
users 2
when 1
where 1
whereby 1
witnessing 1
